timestamp,voltage5V_v,usb_connected,brick_valid,servo_valid,periph_5V_OC,hipower_5V_OC
221567947,5.151416,0,1,1,0,0
221867939,5.153027,0,1,1,0,0
222167934,5.1594725,0,1,1,0,0
222467934,5.1594725,0,1,1,0,0
222767951,5.1691403,0,1,1,0,0
223067940,5.1723633,0,1,1,0,0
223367934,5.146582,0,1,1,0,0
223667934,5.1449704,0,1,1,0,0
223967934,5.143359,0,1,1,0,0
224277962,5.1610837,0,1,1,0,0
224577934,5.1143556,0,1,1,0,0
224877948,5.1788087,0,1,1,0,0
225177934,5.1401367,0,1,1,0,0
225477934,5.153027,0,1,1,0,0
225777934,5.146582,0,1,1,0,0
226087934,5.1691403,0,1,1,0,0
226387934,5.1739745,0,1,1,0,0
226687934,5.153027,0,1,1,0,0
226987934,5.0982423,0,1,1,0,0
227287934,5.067627,0,1,1,0,0
227587934,5.153027,0,1,1,0,0
227887934,5.122412,0,1,1,0,0
228187934,5.0724607,0,1,1,0,0
228487951,5.1401367,0,1,1,0,0
228787934,5.1481934,0,1,1,0,0
229097964,5.15625,0,1,1,0,0
229397934,5.1594725,0,1,1,0,0
229697934,5.1111326,0,1,1,0,0
229997939,5.128857,0,1,1,0,0
230297934,5.167529,0,1,1,0,0
230597957,5.1643066,0,1,1,0,0
230897946,5.1498046,0,1,1,0,0
231197934,5.1643066,0,1,1,0,0
231507935,5.1449704,0,1,1,0,0
231807934,5.146582,0,1,1,0,0
232107934,5.141748,0,1,1,0,0
232407934,5.1691403,0,1,1,0,0
232707936,5.143359,0,1,1,0,0
233007934,5.157861,0,1,1,0,0
233307982,5.146582,0,1,1,0,0
233607934,5.1723633,0,1,1,0,0
233907934,5.1739745,0,1,1,0,0
234217941,5.1336913,0,1,1,0,0
234517934,5.1449704,0,1,1,0,0
234817934,5.10791,0,1,1,0,0
235117934,5.127246,0,1,1,0,0
235417934,5.1401367,0,1,1,0,0
235717934,5.0595703,0,1,1,0,0
236017954,5.1449704,0,1,1,0,0
236317948,5.1240234,0,1,1,0,0
236617934,5.112744,0,1,1,0,0
236917942,5.1401367,0,1,1,0,0
237227933,5.167529,0,1,1,0,0
237527934,5.1385255,0,1,1,0,0
237827934,5.1481934,0,1,1,0,0
238127934,5.141748,0,1,1,0,0
