timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
187740745,-0.20476493,-0.5221409,0.21561384,0.7272386,0.18694259,-0.06658842,-0.6570713
187772785,-0.08712227,-0.58530384,0.21519166,0.72945917,0.17966774,-0.07326436,-0.6559278
187804730,-0.15140128,-0.6450397,0.22064093,0.73152286,0.17157583,-0.08019467,-0.6549847
187832743,0.031470917,-0.6621548,0.23954576,0.7330461,0.16470839,-0.086815104,-0.6542001
187865114,-0.030110653,-0.6507651,0.20735885,0.73444504,0.15735447,-0.09519175,-0.6532753
187896945,0.02870176,-0.61544114,0.17977946,0.73566717,0.1500835,-0.103474095,-0.652351
187928742,0.00024341111,-0.60816836,0.17428681,0.7366476,0.14374004,-0.11241934,-0.6511921
187960820,0.07660731,-0.6007306,0.19027784,0.7374804,0.13809581,-0.121319644,-0.6498721
187992840,0.108538285,-0.5824117,0.22030318,0.73835945,0.13276006,-0.12962897,-0.6483799
188024798,0.14860204,-0.5450399,0.24947664,0.739303,0.1279468,-0.13733968,-0.6466828
188056793,0.053740505,-0.4718385,0.2534765,0.7403783,0.12379029,-0.14439408,-0.6447218
188085685,-0.020499613,-0.33818173,0.19083224,0.74172163,0.11910837,-0.14870556,-0.64307773
188117624,-0.14200675,-0.30107024,0.22017658,0.7434776,0.11475286,-0.15301737,-0.6408266
188149559,-0.10291552,-0.25289077,0.2549227,0.74568087,0.109739386,-0.15523021,-0.6386086
188181541,-0.1278962,-0.19954188,0.29139617,0.7481365,0.105824776,-0.15689057,-0.6359861
188213678,-0.15148197,-0.12279774,0.30668598,0.7510003,0.10133995,-0.15671071,-0.6333804
188245542,-0.06901196,-0.028534742,0.30385414,0.7539811,0.09892566,-0.15689346,-0.6301671
188277542,-0.15015319,0.07875346,0.2824002,0.75731206,0.0966104,-0.15580471,-0.6267933
188309713,-0.13977173,0.16459648,0.28624097,0.76090795,0.0956398,-0.15432554,-0.6229413
188341569,-0.14113021,0.25031567,0.30333295,0.7648816,0.095505945,-0.15154204,-0.6187649
188373529,-0.124182366,0.32090956,0.33821154,0.7692294,0.09609785,-0.14735106,-0.61427927
188405558,-0.06023566,0.41775787,0.3786536,0.77381974,0.097797304,-0.14204055,-0.60947776
