timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
30225775,30225775,18,255,0,0,0,1508,1517,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
30342058,30342058,18,255,0,0,0,1508,1517,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
30432669,30432669,18,255,0,0,0,1508,1517,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
30550747,30550747,18,255,0,0,0,1508,1517,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
30642724,30642724,18,255,0,0,0,1508,1497,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
30755740,30755740,18,255,0,0,0,1508,1453,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
30851151,30851151,18,255,0,0,0,1508,1342,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
30936540,30936540,18,255,0,0,0,1508,1300,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
31056689,31056689,18,255,0,0,0,1508,1500,1147,1514,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
31152718,31152718,18,255,0,0,0,1508,1489,1147,1514,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
31248802,31248802,18,255,0,0,0,1508,1278,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
31344973,31344973,18,255,0,0,0,1508,1253,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
