timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,warning
58988287,9.7498,10.197232,14.942,13.62503,11.570181,0.24359626,1.1683292,3,1,0
59589464,9.7662,10.031862,14.384,14.190453,13.992814,0.19182009,1.1819478,3,1,0
59890298,9.4464,9.962975,14.136,14.308983,15.204335,0.16894573,1.1880661,3,1,0
60191060,9.8482,9.912492,14.470799,14.346865,16.406729,0.15244624,1.1925187,3,1,0
60491877,9.471,9.881934,14.0864,14.380674,17.613056,0.14323933,1.1950179,3,1,1
60792693,9.6186,9.848099,14.594799,14.3865795,18.81571,0.13213126,1.198047,3,1,1
61093518,9.2988,9.737363,18.1288,15.835559,20.31813,0.093804665,1.2086178,3,1,1
61394265,9.4054,9.649985,18.091599,16.737722,21.8317,0.06362452,1.2170739,3,1,2
61695983,9.3808,9.599568,18.228,17.318825,23.356703,0.04745964,1.2216519,3,1,3
61995909,9.3644,9.539489,18.2032,17.667154,24.872662,0.026192727,1.2277275,3,1,3
62297473,9.3726,9.498686,18.066801,17.892902,26.402086,0.01212143,1.2317809,3,1,3
62597554,9.758,9.479707,18.4388,18.00697,27.918516,0.0064921393,1.2334099,3,1,3
62899123,9.3234005,9.444453,18.500801,18.066202,29.438696,0.0,1.235294,3,1,3
63199864,9.3398,9.422579,17.9428,18.064177,30.947731,0.0,1.235294,3,1,3
63500664,9.3152,9.394213,17.918,18.033417,32.450413,0.0,1.235294,3,1,3
63801472,9.102,9.372363,17.67,17.992687,33.94941,0.0,1.235294,3,1,3
64102303,9.389,9.366532,18.0048,18.007366,35.455673,0.0,1.235294,3,1,3
64403148,9.0282,9.353689,17.9552,17.965237,36.951775,0.0,1.235294,3,1,3
64703864,9.3152,9.35458,17.8188,17.945446,38.448254,0.0,1.235294,3,1,3
65004675,9.0036,9.349422,17.9428,17.906229,39.93956,0.0,1.235294,3,1,3
65305497,9.0856,9.342649,17.5212,17.848475,41.424427,0.0,1.235294,3,1,3
65606399,9.0528,9.326898,17.1492,17.691105,42.884144,0.0,1.235294,3,1,3
65907217,9.266,9.3049555,17.3352,17.583672,44.34022,0.0,1.235294,3,1,3
66207924,9.2824,9.304776,17.3352,17.498686,45.791115,0.0007409442,1.2350787,3,1,3
66508680,9.02,9.28447,17.1492,17.469816,47.2472,0.0,1.235294,3,1,3
66809525,9.2742,9.285494,17.260801,17.399305,48.692883,0.0,1.235294,3,1,3
67110374,9.2414,9.269312,18.091599,17.407452,50.148228,0.0,1.235294,3,1,3
67411088,9.2004,9.253748,17.1864,17.393196,51.598812,0.0,1.235294,3,1,3
67711865,9.6022005,9.259517,17.794,17.395586,53.05141,0.00065099116,1.2351049,3,1,3
68012697,9.1184,9.250317,17.1244,17.388205,54.50363,0.0,1.235294,3,1,3
68313446,9.1758,9.237586,17.6204,17.411945,55.960655,0.0,1.235294,3,1,3
68614337,9.4628,9.230355,17.161598,17.303467,57.39458,7.0155686e-05,1.2352737,3,1,3
68915218,9.2496,9.234906,17.285599,17.237541,58.82701,0.0,1.235294,3,1,3
69215862,9.4136,9.2327,17.6204,17.201294,60.259457,3.608466e-05,1.2352835,3,1,3
69516680,9.0036,9.205856,16.802,17.146423,61.6865,0.0,1.235294,3,1,3
69817537,9.2168,9.198877,16.8144,17.03676,63.0966,0.0,1.235294,3,1,3
70118322,9.471,9.203787,17.0376,16.976336,64.50787,0.000100184516,1.2352649,3,1,3
70419155,8.9872,9.195912,16.6656,16.96434,65.924355,0.0,1.235294,3,1,3
70720108,9.7088,9.186413,17.161598,16.903315,67.32999,0.0010813051,1.2349799,3,1,3
71020691,9.6104,9.25087,12.648,15.800283,68.52191,0.004599657,1.2339585,3,1,3
71321479,10.209,9.366357,10.6144,14.029299,69.47711,0.024774835,1.2281348,3,1,3
71622264,9.799,9.459359,9.982,12.422338,70.31003,0.039290167,1.2239786,3,1,3
71923134,10.004,9.573925,8.7916,11.040149,71.06093,0.065537676,1.2165343,3,1,2
72223869,10.1434,9.690274,7.5888,9.741359,71.71273,0.09453129,1.2084156,3,1,1
72524703,10.0778,9.787238,8.035199,8.94539,72.35836,0.119540945,1.2014991,3,1,1
72825481,10.127,9.872655,7.7004004,8.483562,73.00887,0.1431591,1.1950397,3,1,1
73138379,10.209,9.937798,7.502,8.14417,73.674164,0.1606626,1.1902972,3,1,1
73427995,10.373,10.008851,7.6136,7.9326844,74.2849,0.18335149,1.1842057,3,1,1
73728753,10.4468,10.055432,7.9111996,7.782197,74.91581,0.19712591,1.1805377,3,1,1
74029623,10.168,10.097767,7.4895997,7.7234535,75.55364,0.21038415,1.1770285,3,1,1
74341470,10.1106,10.120745,7.5888,7.666052,76.21108,0.21643074,1.1754352,3,1,1
74643075,10.2172,10.147211,7.8616,7.6892786,76.8576,0.22483395,1.1732279,3,1,1
74943133,9.9548,10.157173,7.378,7.695299,77.50046,0.22694235,1.1726753,3,1,1
75243867,10.2172,10.183505,7.7747993,7.7110043,78.14595,0.23632568,1.1702226,3,1,1
75545523,10.2992,10.186867,7.6632,7.6903257,78.78709,0.23649076,1.1701796,3,1,1
75846328,10.168,10.19998,7.564,7.695736,79.4309,0.24099359,1.1690062,3,1,1
76147138,10.4632,10.217496,8.06,7.726122,80.08001,0.24754484,1.1673036,3,1,1
76447882,10.1106,10.222447,7.6632,7.759567,80.732445,0.24902663,1.166919,3,1,1
76748010,10.1352005,10.220462,7.6632,7.758609,81.3794,0.24774757,1.1672509,3,1,1
77049510,10.0778,10.221076,7.7871995,7.8130198,82.041275,0.24765155,1.1672758,3,1,1
77350341,10.2254,10.21597,7.6756,7.8148274,82.69507,0.24525055,1.1678993,3,1,1
77651081,10.3156,10.233967,7.8492,7.8251824,83.35063,0.2525372,1.1660092,3,1,1
77951893,10.2828,10.246952,7.6632,7.807194,84.001335,0.25772768,1.1646665,3,1,1
78252664,10.1844,10.256609,8.3824005,7.803805,84.652794,0.2615426,1.1636817,3,1,1
78553544,10.373,10.252673,7.8864,7.7783937,85.29992,0.25974053,1.1641468,3,1,1
78853508,10.168,10.262004,7.5888,7.77551,85.947334,0.26346597,1.1631858,3,1,1
79154317,10.1352005,10.263444,7.1052003,7.676319,86.57841,0.26337045,1.1632105,3,1,1
79456043,9.8728,10.259565,7.2043996,7.6074476,87.207085,0.26099113,1.163824,3,1,1
79755968,10.0942,10.259169,7.1672,7.5534453,87.83039,0.26016182,1.164038,3,1,1
80056684,10.2582,10.2709255,6.4728,7.201016,88.38826,0.26249003,1.1634374,3,1,1
80357499,10.5698,10.285782,6.9068,6.9800577,88.94406,0.26667556,1.1623594,3,1,1
80658354,10.5206,10.307631,6.6463995,6.800287,89.48905,0.27414382,1.1604404,3,1,1
80959893,10.2992,10.317147,6.51,6.700684,90.038025,0.27676463,1.1597686,3,1,1
81259864,10.537,10.332215,6.9192,6.6931386,90.59389,0.2819778,1.1584346,3,1,1
81560675,10.3894005,10.348416,6.7208,6.693271,91.153076,0.28789976,1.1569228,3,1,1
81861527,9.9384,10.350671,6.2743998,6.7096896,91.71643,0.28819445,1.1568477,3,1,1
82162267,10.5124,10.3635235,6.8572,6.713128,92.27774,0.29298535,1.1556277,3,1,1
82463104,10.3484,10.38487,5.6792,6.4297786,92.78083,0.29901674,1.1540955,3,1,1
82763926,10.5944,10.399798,5.952,6.2015605,93.26942,0.30292475,1.1531049,3,1,1
83064680,10.4714,10.395586,5.8032002,6.03218,93.75222,0.29946995,1.1539805,3,1,1
83365491,10.5944,10.422287,6.0263996,5.993271,94.248024,0.3093577,1.1514779,3,1,1
83666373,10.496,10.423484,5.9272003,5.9535403,94.740845,0.30889297,1.1515954,3,1,1
83967094,10.5124,10.422838,6.2248,5.9194155,95.230995,0.30787468,1.1518526,3,1,1
84267927,10.5288,10.423679,5.9147997,5.899781,95.72221,0.30764154,1.1519115,3,1,1
84568708,10.3648,10.440643,5.642,5.889729,96.21331,0.314256,1.1502422,3,1,1
84869524,10.4796,10.468077,5.828,5.9163694,96.71081,0.32531014,1.1474632,3,1,1
85170264,10.4304,10.454722,5.766,5.890572,97.19916,0.31938508,1.148951,3,1,1
85471072,10.578,10.467319,5.89,5.903974,97.69487,0.3243528,1.1477033,3,1,1
85771893,10.5616,10.483144,5.704,5.880268,98.18414,0.3307287,1.1461058,3,1,1
86084673,10.373,10.4923525,5.6792,5.861087,98.69115,0.33438998,1.1451905,3,1,1
86385524,10.66,10.482111,6.1008,5.842877,99.177155,0.32999185,1.1462902,3,1,1
86686330,10.5124,10.486243,5.7288,5.8456645,99.66632,0.33161202,1.1458849,3,1,1
86987144,10.6928005,10.474609,6.1628,5.8266525,100.151184,0.3266851,1.1471184,3,1,1
87287885,10.2828,10.48152,5.5676,5.850201,100.64324,0.32950345,1.1464124,3,1,1
87588729,10.6026,10.476867,6.0512,5.8480773,101.13167,0.32751763,1.1469098,3,1,1
87889491,10.578,10.485686,5.9272003,5.87591,101.62573,0.33115458,1.1459993,3,1,1
88190341,10.332,10.492753,5.6296,5.9000087,102.12193,0.3340711,1.1452701,3,1,1
88491134,10.6354,10.490246,6.076,5.924384,102.61931,0.33300436,1.1455367,3,1,1
88791864,10.3566,10.483448,5.6916,5.9195776,103.11329,0.3301537,1.1462497,3,1,1
89092704,10.4878,10.476511,5.7412,5.9039216,103.605576,0.32725045,1.1469767,3,1,1
89393512,10.3976,10.483962,5.5923996,5.893571,104.09692,0.33034438,1.146202,3,1,1
89694332,10.3238,10.494264,5.828,5.90605,104.59173,0.3346271,1.1451312,3,1,1
89995103,10.004,10.493264,5.3816,5.9208794,105.08889,0.33420485,1.1452367,3,1,1
90295908,10.4878,10.489676,5.952,5.9325285,105.58586,0.3327058,1.1456114,3,1,1
90596786,10.4140005,10.494285,5.8032002,5.963064,106.08837,0.33462203,1.1451325,3,1,1
90897532,10.6436,10.50085,6.1752,5.967865,106.58752,0.33737925,1.1444442,3,1,1
91198305,10.4796,10.487942,6.7952,6.196854,107.13095,0.33413526,1.1452541,3,1,1
91499083,10.2582,10.466756,6.7208,6.4389524,107.699905,0.32758322,1.1468933,3,1,1
91799160,10.5452,10.446005,6.8572,6.5786223,108.26633,0.32070693,1.1486187,3,1,1
92099911,10.537,10.438245,7.2292,6.690213,108.83958,0.31885105,1.1490854,3,1,1
92400708,10.373,10.434378,6.7952,6.765876,109.41419,0.3183113,1.1492211,3,1,1
92701508,10.6272,10.438905,7.192,6.812975,109.98956,0.32102928,1.1485378,3,1,1
93002265,10.332,10.434826,6.758,6.8234477,110.56048,0.3199772,1.1488022,3,1,1
93303122,10.4304,10.435742,6.758,6.844546,111.13525,0.32086253,1.1485796,3,1,1
93603966,10.4304,10.437939,6.7332,6.8589144,111.71029,0.3221692,1.1482514,3,1,1
93904707,10.6272,10.443463,7.1424,6.8926826,112.29039,0.32477543,1.1475973,3,1,1
94205480,10.3402,10.435063,6.696,6.889928,112.86558,0.32143143,1.1484367,3,1,1
94506449,10.5616,10.433575,6.9936,6.8883905,113.44115,0.320922,1.1485647,3,1,1
94807186,10.25,10.437181,6.9936,6.9064937,114.01951,0.32251105,1.1481656,3,1,1
95108148,10.4058,10.431899,7.0928,6.9052134,114.5965,0.32037684,1.1487017,3,1,1
95408729,10.1024,10.420348,6.5596,6.925405,115.177216,0.31561622,1.1498995,3,1,1
95709468,10.5288,10.421811,6.9936,6.9341,115.757355,0.316266,1.1497359,3,1,1
96010337,10.3156,10.424324,6.696,6.9452696,116.33929,0.317344,1.1494645,3,1,1
96311098,10.496,10.432042,7.1052003,6.9639125,116.923,0.32058418,1.1486496,3,1,1
96611867,10.537,10.428157,7.068,6.9666286,117.50515,0.31898525,1.1490515,3,1,1
96912664,10.291,10.412743,6.7455997,6.967116,118.08804,0.31257662,1.1506655,3,1,1
97213538,10.5944,10.410992,7.378,6.9803963,118.67269,0.31185946,1.1508465,3,1,1
97525539,10.5206,10.42198,7.0308,6.9794445,119.2776,0.31644702,1.1496903,3,1,1
97827175,10.6272,10.415809,7.3036,6.967057,119.85971,0.31388268,1.1503363,3,1,1
98127209,10.4796,10.419876,6.9564,6.9572554,120.43806,0.31558365,1.1499077,3,1,1
98427866,10.6354,10.419229,7.2664,6.9482617,121.01687,0.31531823,1.1499746,3,1,1
98728666,10.5206,10.413812,6.9812,6.9492226,121.597595,0.31306407,1.1505426,3,1,1
