timestamp,gps_timestamp_rel,optical_flow_timestamp_rel,distance_sensor_timestamp_rel,airspeed_timestamp_rel,vision_position_timestamp_rel,vision_attitude_timestamp_rel
195901313,32767,32767,32767,32767,32767,32767
195905313,32767,32767,32767,32767,32767,32767
195909313,32767,32767,32767,32767,32767,32767
195913355,32767,32767,32767,32767,32767,32767
195917313,32767,32767,32767,32767,32767,32767
195921313,32767,32767,32767,32767,32767,32767
195925313,32767,32767,32767,32767,32767,32767
195929313,32767,32767,32767,32767,32767,32767
195933337,32767,32767,32767,32767,32767,32767
195937314,32767,32767,32767,32767,32767,32767
195941313,32767,32767,32767,32767,32767,32767
195945313,32767,32767,32767,32767,32767,32767
195949313,32767,32767,32767,32767,32767,32767
195953341,32767,32767,32767,32767,32767,32767
195957313,32767,32767,32767,32767,32767,32767
195961313,32767,32767,32767,32767,32767,32767
195965313,32767,32767,32767,32767,32767,32767
195969314,32767,32767,32767,32767,32767,32767
195973313,32767,32767,32767,32767,32767,32767
195977329,32767,32767,32767,32767,32767,32767
195981313,32767,32767,32767,32767,32767,32767
195985313,32767,32767,32767,32767,32767,32767
195989313,32767,32767,32767,32767,32767,32767
195993313,32767,32767,32767,32767,32767,32767
195997330,32767,32767,32767,32767,32767,32767
196001313,32767,32767,32767,32767,32767,32767
196005313,32767,32767,32767,32767,32767,32767
196009313,32767,32767,32767,32767,32767,32767
196013313,32767,32767,32767,32767,32767,32767
196017313,32767,32767,32767,32767,32767,32767
196021313,-269,32767,32767,32767,32767,32767
196025315,32767,32767,32767,32767,32767,32767
196029321,32767,32767,32767,32767,32767,32767
196033313,32767,32767,32767,32767,32767,32767
196037313,32767,32767,32767,32767,32767,32767
196041331,32767,32767,32767,32767,32767,32767
196045313,32767,32767,32767,32767,32767,32767
196049313,32767,32767,32767,32767,32767,32767
196053313,32767,32767,32767,32767,32767,32767
196057313,32767,32767,32767,32767,32767,32767
196061344,32767,32767,32767,32767,32767,32767
196065313,32767,32767,32767,32767,32767,32767
196069313,32767,32767,32767,32767,32767,32767
196073314,32767,32767,32767,32767,32767,32767
196077313,32767,32767,32767,32767,32767,32767
196081340,32767,32767,32767,32767,32767,32767
196085323,32767,32767,32767,32767,32767,32767
196089313,32767,32767,32767,32767,32767,32767
196093313,32767,32767,32767,32767,32767,32767
196097313,32767,32767,32767,32767,32767,32767
196101325,32767,32767,32767,32767,32767,32767
196105313,32767,32767,32767,32767,32767,32767
196110113,32767,32767,32767,32767,32767,32767
196114115,32767,32767,32767,32767,32767,32767
196118118,32767,32767,32767,32767,32767,32767
196122114,32767,32767,32767,32767,32767,32767
196126113,32767,32767,32767,32767,32767,32767
196130115,32767,32767,32767,32767,32767,32767
196134113,32767,32767,32767,32767,32767,32767
196138145,32767,32767,32767,32767,32767,32767
196142138,32767,32767,32767,32767,32767,32767
196146113,32767,32767,32767,32767,32767,32767
196150113,32767,32767,32767,32767,32767,32767
196154118,32767,32767,32767,32767,32767,32767
196158147,32767,32767,32767,32767,32767,32767
196162166,32767,32767,32767,32767,32767,32767
196166116,32767,32767,32767,32767,32767,32767
196170115,32767,32767,32767,32767,32767,32767
196174115,32767,32767,32767,32767,32767,32767
196178138,32767,32767,32767,32767,32767,32767
196182178,32767,32767,32767,32767,32767,32767
196186113,32767,32767,32767,32767,32767,32767
196190113,32767,32767,32767,32767,32767,32767
