timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
231099322,29927290,40.2668106,116.23584600000001,-0.15278739,3.585433,3.9994805,-0.010707245,0.009004896,0.0,-0.03596656,-0.016546248,-0.027491258,-0.03242118,-0.026022881,-0.00051882025,-0.09999038,-0.5605505,-0.8436591,0.18194956,0.63553107,86.42366,0.10670543,0.027491258,0.29609418,0.22521006,0.1714739,0.08869352,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
231203332,29927290,40.2668106,116.23584600000001,-0.15440108,3.585434,3.997078,-0.010707245,0.009004896,0.0,-0.039812583,0.0050427336,-0.017113546,-0.021162936,-0.026022881,-0.00051882025,-0.09999038,-0.30106607,0.29251462,2.2937965,0.6351136,86.42366,0.102203846,0.017113546,0.2852471,0.22394463,0.16789499,0.08852984,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
231303321,29927290,40.2668106,116.23584600000001,-0.15512371,3.5859754,3.9932632,-0.010707245,0.009004896,0.0,-0.034393597,-0.006976105,-0.023326077,-0.028139202,-0.026022881,-0.00051882025,-0.09999038,0.56760806,-0.46425012,1.2422199,0.63539684,86.42366,0.10507965,0.023326077,0.29790822,0.22494024,0.17510775,0.08938265,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
231405034,29927290,40.2668106,116.23584600000001,-0.15591529,3.5867572,3.9880104,-0.010707245,0.009004896,0.0,-0.039093357,0.0025499528,-0.018254599,-0.025098737,-0.026022881,-0.00051882025,-0.09999038,-0.44432047,1.5234836,-0.1397465,0.6350194,86.42366,0.1,0.018254599,0.28691757,0.22372097,0.17115746,0.08938739,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
231504914,29927290,40.2668106,116.23584600000001,-0.1565122,3.5875056,3.981014,-0.010707245,0.009004896,0.0,-0.034758653,-0.00735604,-0.024349831,-0.034733243,-0.026022881,-0.00051882025,-0.09999038,1.2040236,-0.8435574,0.12259989,0.63493013,86.42366,0.1,0.024349831,0.29883873,0.22284992,0.1777451,0.089947656,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
231608837,29927290,40.2668106,116.23584600000001,-0.1573368,3.5879092,3.9722931,-0.010707245,0.009004896,0.0,-0.03231998,0.0028639287,-0.02738369,-0.042305194,-0.026022881,-0.00051882025,-0.09999038,0.67013407,1.7609793,-2.233222,0.63518214,86.42366,0.1,0.02738369,0.2873398,0.22295628,0.17309006,0.09034132,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
231708853,29927290,40.2668106,116.23584600000001,-0.15777762,3.5876908,3.963194,-0.010707245,0.009004896,0.0,-0.039696906,-0.0065082405,-0.03564934,-0.054719917,-0.026022881,-0.00051882025,-0.09999038,-1.869854,-2.5645523,-2.1192083,0.6355573,86.42366,0.1,0.03564934,0.30047655,0.2226807,0.18021747,0.09120837,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
231808896,29927290,40.2668106,116.23584600000001,-0.15872067,3.587699,3.9570453,-0.010707245,0.009004896,0.0,-0.041728318,-0.0024172775,-0.0368081,-0.056718387,-0.026022881,-0.00051882025,-0.09999038,-1.1574818,-0.52061707,-1.4397521,0.63586175,86.42366,0.101824045,0.0368081,0.2882535,0.22249578,0.17484826,0.09154338,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
231913017,29927290,40.2668106,116.23584600000001,-0.15966985,3.5881548,3.9529965,-0.010707245,0.009004896,0.0,-0.033674255,-0.0010681176,-0.041856337,-0.060075443,-0.026022881,-0.00051882025,-0.09999038,0.78262424,-1.3984576,-0.9029511,0.6350013,86.42366,0.10918546,0.041856337,0.30159348,0.2223098,0.18190306,0.09251564,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
232013739,29927290,40.2668106,116.23584600000001,-0.16035357,3.5876615,3.9509306,-0.010707245,0.009004896,0.0,-0.043314084,0.0063729715,-0.033472236,-0.04836572,-0.026022881,-0.00051882025,-0.09999038,-0.314508,0.45116985,0.13631086,0.635806,86.42366,0.10847616,0.033472236,0.29019046,0.22134554,0.17659669,0.09281155,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
232113730,29927290,40.2668106,116.23584600000001,-0.1610137,3.5868554,3.94828,-0.010707245,0.009004896,0.0,-0.033870064,-0.00089044403,-0.042795766,-0.055316556,-0.026022881,-0.00051882025,-0.09999038,1.1859586,-1.3974857,-0.42121488,0.63565713,86.42366,0.11103606,0.042795766,0.3028017,0.22216024,0.18305875,0.09396474,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
232217717,29927290,40.2668106,116.23584600000001,-0.1617844,3.5857685,3.9466817,-0.010707245,0.009004896,0.0,-0.031410683,0.0050842194,-0.029056903,-0.038140252,-0.026022881,-0.00051882025,-0.09999038,0.44025236,1.8839658,1.8965619,0.6355028,86.42366,0.11223054,0.029056903,0.29120386,0.22129095,0.17736469,0.09429625,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
232317678,29927290,40.2668106,116.23584600000001,-0.16262217,3.584575,3.9444492,-0.010707245,0.009004896,0.0,-0.027497848,-0.0016867693,-0.0396219,-0.04635848,-0.026022881,-0.00051882025,-0.09999038,1.3753535,-1.0587319,1.2404852,0.6353532,86.42366,0.110123396,0.0396219,0.30493346,0.22132017,0.18414243,0.095402695,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
232421642,29927290,40.2668106,116.23584600000001,-0.16342722,3.5836596,3.9423556,-0.010707245,0.009004896,0.0,-0.02769814,0.008349191,-0.02729643,-0.031652573,-0.026022881,-0.00051882025,-0.09999038,1.1333346,1.788527,0.60256934,0.63537055,86.42366,0.11328983,0.02729643,0.29310173,0.22056012,0.1781754,0.095751874,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
232525733,29927290,40.2668106,116.23584600000001,-0.16426319,3.5833623,3.9419768,-0.010707245,0.009004896,0.0,-0.029418394,-0.004478744,-0.039372046,-0.039894033,-0.026022881,-0.00051882025,-0.09999038,0.2895691,-1.1064284,0.35369948,0.6356975,86.42366,0.115899324,0.039372046,0.3070089,0.2220922,0.18478319,0.09718546,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
232625700,29927290,40.2668106,116.23584600000001,-0.16486764,3.582013,3.9430847,-0.010707245,0.009004896,0.0,-0.027643692,-0.0010387157,-0.029247062,-0.025170518,-0.026022881,-0.00051882025,-0.09999038,1.6482013,0.86099845,-0.2864823,0.6352787,86.42366,0.11629534,0.029247062,0.29390296,0.222201,0.17802207,0.09759233,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
232727283,29927290,40.2668106,116.23584600000001,-0.16526853,3.5803835,3.9471514,-0.010707245,0.009004896,0.0,-0.028405929,0.0002752692,-0.041363303,-0.030324413,-0.026022881,-0.00051882025,-0.09999038,0.23535079,-0.6209972,-1.4393421,0.6348613,86.42366,0.12669301,0.041363303,0.3078807,0.22242117,0.18448175,0.09872646,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
232827339,29927290,40.2668106,116.23584600000001,-0.16642089,3.577726,3.949135,-0.010707245,0.009004896,0.0,-0.03035506,-0.0074123037,-0.028454568,-0.013598812,-0.026022881,-0.00051882025,-0.09999038,-0.0768355,0.13738693,-0.5442845,0.6365402,86.42366,0.1108706,0.028454568,0.2946068,0.22259016,0.17748125,0.09909808,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
232931282,29927290,40.2668106,116.23584600000001,-0.16791221,3.5756288,3.9479249,-0.010707245,0.009004896,0.0,-0.032961942,-0.0063224006,-0.04012038,-0.024840182,-0.026022881,-0.00051882025,-0.09999038,-1.3374109,-0.38528842,0.14082336,0.6354972,86.42366,0.1117847,0.04012038,0.30884776,0.2230595,0.18387012,0.10025889,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
233031345,29927290,40.2668106,116.23584600000001,-0.1695661,3.571633,3.9476597,-0.010707245,0.009004896,0.0,-0.026927773,0.013414703,-0.029490318,-0.013226316,-0.026022881,-0.00051882025,-0.09999038,1.4457213,2.5763438,0.73063946,0.6362753,86.42366,0.11167216,0.029490318,0.2965888,0.22248805,0.17729607,0.10049377,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
233135313,29927290,40.2668106,116.23584600000001,-0.17155828,3.5687582,3.9466643,-0.010707245,0.009004896,0.0,-0.027566042,-0.0069418135,-0.027551925,-0.010658099,-0.026022881,-0.00051882025,-0.09999038,-0.446915,1.0383565,3.0529895,0.6358331,86.42366,0.1064167,0.027551925,0.31070367,0.22294047,0.18337771,0.10160327,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
233239348,29927290,40.2668106,116.23584600000001,-0.17331384,3.56443,3.9443707,-0.010707245,0.009004896,0.0,-0.030550955,-0.002008575,-0.03022205,-0.014243986,-0.026022881,-0.00051882025,-0.09999038,-1.4073169,-1.010466,-0.33215904,0.63692737,86.42366,0.10470724,0.03022205,0.29808083,0.22243212,0.17661414,0.101772964,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
233340948,29927290,40.2668106,116.23584600000001,-0.17521693,3.560762,3.942034,-0.010707245,0.009004896,0.0,-0.031137919,-0.0045292033,-0.027846603,-0.012491534,-0.026022881,-0.00051882025,-0.09999038,-1.3917122,-0.4308408,-0.85489357,0.6363137,86.42366,0.10941911,0.027846603,0.3111144,0.22380365,0.18205856,0.10296551,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
233440932,29927290,40.2668106,116.23584600000001,-0.17593706,3.556164,3.9402635,-0.010707245,0.009004896,0.0,-0.033752695,-0.0027615554,-0.034364786,-0.01930324,-0.026022881,-0.00051882025,-0.09999038,-1.794993,-0.93687415,-1.8408262,0.636614,86.42366,0.10286927,0.034364786,0.29866275,0.22340417,0.17538282,0.103077784,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
233544920,29927290,40.2668106,116.23584600000001,-0.17688964,3.5522382,3.9365025,-0.010707245,0.009004896,0.0,-0.02955279,-0.006875477,-0.027235301,-0.014167725,-0.026022881,-0.00051882025,-0.09999038,-1.0773829,-1.2364578,0.7032984,0.6366443,86.42366,0.103606224,0.027235301,0.31288475,0.22409715,0.18121617,0.10411956,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
233644908,29927290,40.2668106,116.23584600000001,-0.17762351,3.5481555,3.9343817,-0.010707245,0.009004896,0.0,-0.028107967,-0.02649485,-0.039581932,-0.026676701,-0.026022881,-0.00051882025,-0.09999038,-1.3067513,-1.9077375,-1.8427765,0.6371881,86.42366,0.11063504,0.039581932,0.29906487,0.22448288,0.17392753,0.104266375,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
233744892,29927290,40.2668106,116.23584600000001,-0.17856924,3.5449238,3.933768,-0.010707245,0.009004896,0.0,-0.022857314,-0.0033198127,-0.037793037,-0.023657179,-0.026022881,-0.00051882025,-0.09999038,-0.8307963,-1.9513406,-1.2562145,0.6361288,86.42366,0.10773301,0.037793037,0.31311986,0.22517778,0.17961235,0.10524623,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
233845699,29927290,40.2668106,116.23584600000001,-0.17947575,3.5403428,3.9307008,-0.010707245,0.009004896,0.0,-0.021755647,-0.024707725,-0.046801712,-0.034085046,-0.026022881,-0.00051882025,-0.09999038,-0.833989,-0.2507334,-3.3918211,0.63716197,86.42366,0.10510111,0.046801712,0.30028668,0.2261862,0.17274393,0.10552282,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
233949654,29927290,40.2668106,116.23584600000001,-0.18070665,3.5381784,3.928867,-0.010707245,0.009004896,0.0,-0.026781922,-0.013493659,-0.03722251,-0.02397831,-0.026022881,-0.00051882025,-0.09999038,-0.91289747,0.44413185,1.2387962,0.63567597,86.42366,0.108546495,0.03722251,0.3143144,0.22693351,0.17825037,0.10644022,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
234049687,29927290,40.2668106,116.23584600000001,-0.18234763,3.536273,3.9268665,-0.010707245,0.009004896,0.0,-0.020238219,-0.014211426,-0.036140546,-0.02298558,-0.026022881,-0.00051882025,-0.09999038,0.96787876,1.0980352,1.5213375,0.63670385,86.42366,0.10732603,0.036140546,0.29985127,0.2270903,0.17093657,0.10640846,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
234153742,29927290,40.2668106,116.23584600000001,-0.18419436,3.5363805,3.922523,-0.010707245,0.009004896,0.0,-0.024558455,-0.0056343665,-0.022279557,-0.011232769,-0.026022881,-0.00051882025,-0.09999038,-0.08843328,1.7414447,1.3002775,0.63493776,86.42366,0.10565424,0.022279557,0.31375855,0.22789325,0.17625886,0.107270434,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
234253716,29927290,40.2668106,116.23584600000001,-0.1857658,3.536552,3.9209805,-0.010707245,0.009004896,0.0,-0.022549348,-0.012637923,-0.037361313,-0.025622463,-0.026022881,-0.00051882025,-0.09999038,-1.0478224,0.28895852,1.515469,0.6367862,86.42366,0.10896778,0.037361313,0.300683,0.2274641,0.16948844,0.10703047,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
234353683,29927290,40.2668106,116.23584600000001,-0.18754987,3.5375285,3.9206595,-0.010707245,0.009004896,0.0,-0.019369453,0.0019411538,-0.025556112,-0.011845773,-0.026022881,-0.00051882025,-0.09999038,0.57288146,2.7238493,1.34793,0.63539374,86.42366,0.11458683,0.025556112,0.31342906,0.22765927,0.17433155,0.10762136,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
234457671,29927290,40.2668106,116.23584600000001,-0.18829454,3.5372791,3.9210405,-0.010707245,0.009004896,0.0,-0.021912765,-0.014410451,-0.03951592,-0.023616146,-0.026022881,-0.00051882025,-0.09999038,-0.20876986,0.11202566,0.481354,0.6373576,86.42366,0.103946686,0.03951592,0.30038938,0.22723526,0.16767709,0.10730933,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
234557828,29927290,40.2668106,116.23584600000001,-0.1890641,3.5388923,3.9182043,-0.010707245,0.009004896,0.0,-0.024593001,-0.0072869617,-0.0255021,-0.010699798,-0.026022881,-0.00051882025,-0.09999038,-0.6070702,0.29469132,0.9875878,0.6358285,86.42366,0.10275316,0.0255021,0.31409255,0.22958691,0.17286943,0.108443476,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
234659284,29927290,40.2668106,116.23584600000001,-0.19014607,3.538146,3.9148462,-0.010707245,0.009004896,0.0,-0.020152612,0.010172293,-0.030623581,-0.017437503,-0.026022881,-0.00051882025,-0.09999038,0.6973631,1.4630862,1.0975235,0.6359195,86.42366,0.10451484,0.030623581,0.30002445,0.22850415,0.16590275,0.10785258,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
234763272,29927290,40.2668106,116.23584600000001,-0.19137399,3.5393226,3.9142063,-0.010707245,0.009004896,0.0,-0.023266546,-0.027469499,-0.04005963,-0.025486331,-0.026022881,-0.00051882025,-0.09999038,0.63709694,0.5354439,-1.9404451,0.6372458,86.42366,0.114583254,0.04005963,0.31359458,0.22937001,0.17096497,0.10853701,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
234863366,29927290,40.2668106,116.23584600000001,-0.192532,3.539967,3.9179869,-0.010707245,0.009004896,0.0,-0.018518269,0.025536176,-0.033450168,-0.01355456,-0.026022881,-0.00051882025,-0.09999038,0.8612137,1.1524218,0.13086718,0.636639,86.42366,0.11848593,0.033450168,0.30072847,0.2290343,0.16458344,0.108103916,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
234963319,29927290,40.2668106,116.23584600000001,-0.19408485,3.5399399,3.9194322,-0.010707245,0.009004896,0.0,-0.018611554,-0.018807601,-0.040738933,-0.018587263,-0.026022881,-0.00051882025,-0.09999038,-0.19156608,0.8495106,-0.7401851,0.6375639,86.42366,0.11205053,0.040738933,0.31315467,0.23075554,0.16920584,0.10892816,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
235067309,29927290,40.2668106,116.23584600000001,-0.19550808,3.5388699,3.9203155,-0.010707245,0.009004896,0.0,-0.009024729,0.01440804,-0.04428115,-0.020415794,-0.026022881,-0.00051882025,-0.09999038,0.536954,0.6050411,2.4157898,0.6388295,86.42366,0.11552501,0.04428115,0.30015522,0.2302352,0.16284429,0.10840308,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
235167257,29927290,40.2668106,116.23584600000001,-0.19538434,3.5394182,3.9213483,-0.010707245,0.009004896,0.0,0.020244893,0.0072706067,-0.029754695,-0.0031013826,-0.026022881,-0.00051882025,-0.09999038,5.187072,3.3674452,-0.68214816,0.6399616,86.42366,0.11449218,0.029754695,0.28806335,0.22967927,0.15686394,0.107831255,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
235268904,29927290,40.2668106,116.23584600000001,-0.1976647,3.536972,3.923321,-0.010707245,0.009004896,0.0,-0.020011943,0.023885837,-0.066867664,-0.037036274,-0.026022881,-0.00051882025,-0.09999038,-2.0504072,0.4354259,-1.9829907,0.6444196,86.42366,0.1125195,0.066867664,0.2996943,0.23137863,0.1613961,0.10860838,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
