timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
266930575,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
267940853,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
268948955,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
269960727,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
270969188,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
271979629,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
272991379,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
273993128,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
274999313,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
276002424,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
277006859,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
278010569,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
279015099,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
280022190,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
281024059,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
282029581,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
283033001,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
284044047,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
285045645,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
286046509,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
287051119,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
288052645,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
289055160,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
290064605,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
291066743,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
292073417,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
293074869,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
