timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
324275105,324274921,0.00909044,-0.008167844,-0.09332929,0.3881855,0.0,0.0,0.0,1.0
324379842,324379720,-0.0074082864,0.017985504,-0.09698807,0.39424717,0.0,0.0,0.0,1.0
324480649,324480521,0.043071494,0.00813877,-0.10183607,0.40142858,0.0,0.0,0.0,1.0
324580696,324580532,-0.020885186,0.02229942,-0.09313983,0.39682466,0.0,0.0,0.0,1.0
324684697,324684521,-0.031219833,0.0034135617,-0.09715317,0.39803287,0.0,0.0,0.0,1.0
324784650,324784521,0.05664044,0.0109292045,-0.07951285,0.39774868,0.0,0.0,0.0,1.0
324884649,324884522,-0.027782995,-0.0031097587,-0.13721386,0.3952441,0.0,0.0,0.0,1.0
324986244,324986120,0.026718065,0.0021631508,-0.18838522,0.39010417,0.0,0.0,0.0,1.0
325090292,325090125,0.03932203,0.0027912464,-0.23083246,0.37264076,0.0,0.0,0.0,1.0
325190274,325190120,0.017250547,-0.004347228,-0.17718154,0.35181,0.0,0.0,0.0,1.0
325290269,325290124,0.02789278,0.022063488,-0.23630722,0.33642146,0.0,0.0,0.0,1.0
325394249,325394120,0.04472419,0.015239024,-0.19503358,0.33143833,0.0,0.0,0.0,1.0
325495848,325495721,0.01225846,0.0012120088,-0.10966502,0.34657094,0.0,0.0,0.0,1.0
325595848,325595726,-0.014132086,0.027975364,-0.05583077,0.37594903,0.0,0.0,0.0,1.0
325695895,325695725,-0.020638976,0.014128146,-0.06340489,0.3975246,0.0,0.0,0.0,1.0
325799876,325799743,-0.010721542,0.029998777,-0.068436995,0.40476516,0.0,0.0,0.0,1.0
325899849,325899721,0.08283413,0.019764742,-0.03952135,0.40381813,0.0,0.0,0.0,1.0
326003843,326003721,-0.021660268,0.012693562,-0.11294574,0.39665517,0.0,0.0,0.0,1.0
326105497,326105321,0.050398864,0.04339917,-0.118437424,0.38705662,0.0,0.0,0.0,1.0
326205451,326205321,-0.056995906,0.01675533,-0.13164446,0.37851435,0.0,0.0,0.0,1.0
326305445,326305321,0.024494972,0.0111642,-0.1297728,0.36762127,0.0,0.0,0.0,1.0
326409491,326409356,0.015430091,0.014330344,-0.08469528,0.36763462,0.0,0.0,0.0,1.0
326509513,326509321,0.026017029,0.009981681,-0.09924739,0.3878483,0.0,0.0,0.0,1.0
326611103,326610921,0.0153854275,0.010366209,-0.100114904,0.3966126,0.0,0.0,0.0,1.0
326711118,326710921,-0.07859937,0.009415986,-0.09356304,0.40350753,0.0,0.0,0.0,1.0
326815106,326814921,0.0327965,0.01417944,-0.080003045,0.40040663,0.0,0.0,0.0,1.0
