timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
292841784,0.2643677,-0.09332881,0.44735745
292851831,0.25952733,-0.08593402,0.44229195
292861784,0.2699224,-0.09807923,0.45025185
292871783,0.25327107,-0.0880986,0.4322093
292881788,0.24952072,-0.07440557,0.44811192
292891824,0.27341568,-0.09641094,0.4461073
292901786,0.2455329,-0.07749097,0.43922114
292911803,0.29743665,-0.10424064,0.43829587
292921784,0.25525472,-0.08727709,0.44144344
292931819,0.28233734,-0.09938779,0.44167465
292941787,0.25018916,-0.0840485,0.4359871
292951816,0.28640297,-0.09738958,0.43486926
292961786,0.267516,-0.09312039,0.4484548
292971817,0.24954641,-0.08132185,0.43613634
292981784,0.27426463,-0.093542635,0.4468851
292991834,0.26353326,-0.08616732,0.43492097
293001785,0.25934035,-0.08277928,0.46107113
293011802,0.25345832,-0.08668279,0.44042063
293021820,0.27373418,-0.09125588,0.45061317
293031810,0.26027817,-0.08515499,0.45033896
293041818,0.24500613,-0.071980424,0.4450957
293051790,0.2818241,-0.09700455,0.444917
293061809,0.2648354,-0.0825693,0.44764933
293071803,0.26914915,-0.09453962,0.44283673
293081806,0.25263435,-0.08133066,0.43893746
293091791,0.26308697,-0.082710385,0.45427203
293101785,0.27135357,-0.09184126,0.4390886
293111790,0.2555859,-0.08764351,0.45009023
293121787,0.26925322,-0.09144541,0.4488982
293131854,0.25447914,-0.07641501,0.43859476
293141807,0.28059167,-0.09977907,0.44372085
293151823,0.25230536,-0.07986496,0.45047677
293161784,0.27049586,-0.092771575,0.44530883
293171831,0.248412,-0.077609174,0.45016897
293181784,0.27419776,-0.08925981,0.4510221
293191803,0.2622385,-0.085687794,0.442233
293201784,0.2960218,-0.10417303,0.4265009
293211817,0.26937747,-0.094061375,0.4453896
293221785,0.25054282,-0.074440524,0.43949974
293231867,0.27934653,-0.09532688,0.44512963
293241784,0.2527796,-0.08058544,0.45283538
293251807,0.27688035,-0.09493019,0.4427713
293261785,0.24394989,-0.07665596,0.44792154
293271833,0.28023398,-0.09509203,0.43807167
293281784,0.25374982,-0.07535338,0.4501881
293291809,0.27434117,-0.087231785,0.43347377
293301785,0.25969175,-0.08332828,0.45339713
293311817,0.25735086,-0.07633402,0.43625185
293321785,0.30300874,-0.09999745,0.4316999
293331807,0.25597975,-0.08107505,0.44346955
293341785,0.2813921,-0.097146064,0.4346183
293351817,0.26492903,-0.0850591,0.442757
293361784,0.27565673,-0.08909174,0.44357422
293371817,0.26307747,-0.08003945,0.43429232
293381784,0.27526033,-0.084021635,0.4457678
293391822,0.2909116,-0.106427535,0.43130293
293401784,0.2608525,-0.08796319,0.4453715
293411817,0.2989831,-0.11613126,0.42612758
293421784,0.25318378,-0.07661392,0.432424
293431817,0.2772963,-0.09522302,0.4467736
293441820,0.25915012,-0.07945778,0.4214465
293451816,0.26301923,-0.08156834,0.4561838
293461821,0.26483473,-0.08973393,0.44316965
293471811,0.2469722,-0.07301205,0.45932552
293481784,0.28146958,-0.09538002,0.43467963
293491795,0.24564227,-0.07428224,0.45638105
293501784,0.2873486,-0.10277681,0.4374161
293511795,0.2508312,-0.073504224,0.4403568
293521784,0.28931206,-0.098857544,0.44047084
293531804,0.25923824,-0.08173942,0.43695518
293541784,0.257586,-0.07316237,0.45210975
293551794,0.29857522,-0.10720869,0.4308958
293561784,0.26332805,-0.08858053,0.45196488
293571796,0.27262205,-0.08388396,0.4415185
293581790,0.24524212,-0.07235564,0.4564308
293591795,0.29080635,-0.101790495,0.43202403
293601784,0.25054458,-0.07463463,0.42595163
293611834,0.3161122,-0.11920174,0.41268268
293621784,0.2649277,-0.093114145,0.4360452
293631795,0.25003842,-0.078564234,0.44024247
293641784,0.2601517,-0.079240374,0.45615944
293651833,0.25611687,-0.079901904,0.4395976
293661784,0.2569108,-0.07817521,0.45542738
293671833,0.26116493,-0.08684943,0.4432985
293681827,0.26887092,-0.086120985,0.45069277
293691823,0.26267466,-0.08388396,0.4411662
293701784,0.25640628,-0.076197326,0.45392513
293711825,0.25942433,-0.08355676,0.43845144
293721784,0.27531964,-0.086784646,0.44184414
293731827,0.2695394,-0.08617157,0.44981745
293741784,0.261267,-0.078327395,0.43591654
293751784,0.27498472,-0.086616136,0.4513008
293761784,0.26752722,-0.08871323,0.4391384
293771795,0.2565951,-0.08042289,0.45534167
293781784,0.26636752,-0.09517911,0.44263545
293791803,0.25921673,-0.07594429,0.44881216
293801816,0.2672686,-0.08261846,0.44194192
293811791,0.26310033,-0.08642377,0.44264698
293821785,0.27361268,-0.08889012,0.44954523
293831791,0.25778684,-0.07499506,0.44194052
293841793,0.2709033,-0.08513398,0.44280297
293851858,0.27428818,-0.08723474,0.45296872
293861820,0.27689734,-0.088318676,0.44454116
293871824,0.26836044,-0.08045786,0.44711
293881826,0.2647064,-0.07627278,0.44679308
293891833,0.27458924,-0.09256656,0.4489684
293901785,0.2607989,-0.07854804,0.44013464
293911787,0.26807085,-0.0856662,0.44178763
293921784,0.2535171,-0.07060637,0.450011
293931787,0.28042135,-0.085112244,0.43278047
293941784,0.26471853,-0.07288035,0.44870076
293951787,0.27378735,-0.08996112,0.43336362
293961784,0.26502246,-0.079661794,0.44236827
293971787,0.26146054,-0.07576445,0.41920352
293981784,0.2698438,-0.08313662,0.44797105
293991788,0.2531878,-0.073297784,0.4390603
294001785,0.30201194,-0.09771197,0.43059835
294011787,0.26195657,-0.07904062,0.4501933
294021784,0.2655119,-0.0754834,0.437548
294031829,0.27428025,-0.08539382,0.45319265
294041784,0.27170807,-0.08681903,0.44032827
294051787,0.26487312,-0.081322685,0.4488341
294061785,0.26624873,-0.07753018,0.44599023
294071829,0.27062455,-0.08478716,0.43717578
294081788,0.25714052,-0.07424135,0.42644298
294091825,0.28288987,-0.08012242,0.43507284
294101784,0.28807884,-0.10464118,0.42579615
294111803,0.2653088,-0.080903,0.44103205
294121784,0.267251,-0.08384617,0.44018742
294131809,0.24983762,-0.07465378,0.4459123
294141785,0.27755123,-0.086557895,0.43507817
294151793,0.2404282,-0.057319127,0.44386986
294161784,0.30973226,-0.11254434,0.41284072
294171831,0.25475672,-0.067366265,0.44200468
294181784,0.2832449,-0.084760755,0.4295475
294191791,0.27184284,-0.091657825,0.44327244
294201784,0.2597448,-0.077263065,0.4474003
294211787,0.26792946,-0.071970336,0.44802886
294221784,0.24272121,-0.06648267,0.44886807
294231787,0.2795974,-0.08819238,0.43354648
294241784,0.2557762,-0.06806869,0.45596716
294251787,0.2557762,-0.06806869,0.45596716
294261784,0.29743215,-0.09872315,0.42942366
294271787,0.26678652,-0.08013734,0.43980455
294281825,0.2717291,-0.08856149,0.44198433
294291787,0.27621007,-0.08774652,0.4369491
294301821,0.23659171,-0.06134707,0.4464556
294311829,0.26612204,-0.07918155,0.4473178
294321784,0.2578974,-0.0756543,0.45456702
294331787,0.27425128,-0.082970545,0.43826184
294341784,0.2597848,-0.07910315,0.43502253
294351787,0.2761973,-0.08941694,0.4485588
294361786,0.26263323,-0.07223646,0.42433825
294371789,0.2501349,-0.06614338,0.45101815
294381784,0.26576185,-0.078056164,0.43274003
294391787,0.2549007,-0.07018738,0.44468984
294401784,0.322973,-0.12633811,0.41244423
294411787,0.24360436,-0.069494165,0.46217808
294421784,0.28039205,-0.08826797,0.43585628
294431792,0.2560651,-0.07396852,0.45455804
294441784,0.26059985,-0.07678823,0.45250413
294451820,0.25504017,-0.06998222,0.4385017
294461784,0.27650216,-0.08533104,0.44894984
294471801,0.27897084,-0.09105271,0.44223973
294481795,0.25190318,-0.071683615,0.44608396
294491875,0.34554115,-0.1284183,0.39840907
294501790,0.25141838,-0.07136323,0.44852474
294511819,0.27633214,-0.084239446,0.4402513
294521791,0.26199174,-0.08127539,0.44245216
294531786,0.26257795,-0.0804094,0.4551461
294541790,0.25223398,-0.074261084,0.43899456
294551838,0.2577408,-0.07574395,0.44999018
294561803,0.270897,-0.07871668,0.4407314
294571837,0.26131797,-0.07527709,0.4457272
294581785,0.28177497,-0.08604668,0.44405505
294591833,0.26588064,-0.078719385,0.44063526
294601785,0.26822022,-0.08292549,0.44881788
294611816,0.25945133,-0.07473238,0.4219402
294621785,0.25851578,-0.06643549,0.45285526
294631816,0.27681893,-0.089695424,0.440006
294641785,0.24723808,-0.075191416,0.44506824
294651815,0.27074882,-0.07988855,0.44941604
294661787,0.2607497,-0.07374319,0.45277354
294671816,0.27323678,-0.08486885,0.4421602
294681785,0.25406846,-0.06769661,0.42769334
294691816,0.28161055,-0.088531226,0.4486983
294701821,0.29159445,-0.09740694,0.42102128
294711815,0.24416584,-0.058268357,0.45082322
294721822,0.29644915,-0.09939235,0.4301824
294731804,0.25526345,-0.06869925,0.4434468
294741795,0.27112016,-0.0810955,0.45917842
294751816,0.25190112,-0.07274197,0.44164363
294761794,0.26678202,-0.08043967,0.44893098
294771827,0.2643991,-0.07336939,0.44647062
294781784,0.24781391,-0.064497255,0.44005924
294791816,0.2834474,-0.08895605,0.4373285
294801784,0.25691637,-0.068951584,0.44627056
294811817,0.2923066,-0.091342695,0.43691045
294821784,0.26803616,-0.08042392,0.43151844
294831817,0.27269977,-0.08257072,0.45282245
294841784,0.27896562,-0.08102974,0.43563792
294851816,0.2639512,-0.0711602,0.45011744
294861784,0.2614856,-0.07228404,0.44999284
294871803,0.26752043,-0.07554008,0.43933037
294881784,0.27594578,-0.07995191,0.44666123
294891817,0.26266298,-0.07496877,0.4437456
294901784,0.27155852,-0.08196489,0.44904956
294911854,0.26489463,-0.07556894,0.42797878
294921784,0.26525915,-0.070381165,0.45818418
294931806,0.2673442,-0.0866403,0.4420559
294941784,0.25521028,-0.07011521,0.44494793
294951820,0.27515835,-0.08668291,0.45089683
294961784,0.23610482,-0.06145961,0.43770587
294971837,0.2774222,-0.08263139,0.44996932
294981786,0.25325748,-0.06798559,0.44609144
294991822,0.27311164,-0.08360818,0.45019215
295001784,0.2651848,-0.07250655,0.44228506
295011805,0.26933292,-0.077444635,0.45564684
295021784,0.2723661,-0.08294155,0.43974596
295031817,0.2542644,-0.066352956,0.43565783
295041784,0.3113974,-0.109484516,0.4175695
295051817,0.2542223,-0.06839563,0.4390964
295061784,0.29236323,-0.09497467,0.43981034
295071817,0.23993526,-0.060605127,0.45328793
295081784,0.26940075,-0.07272591,0.45148215
295091787,0.24880119,-0.061499387,0.43693057
295101784,0.28608602,-0.083806954,0.4348191
295111821,0.26558092,-0.07023469,0.45134795
295121820,0.2670255,-0.076222636,0.4308062
295131830,0.27823094,-0.08133349,0.44963312
295141821,0.2544621,-0.07094296,0.44807547
295151805,0.26237014,-0.07026637,0.4497648
295161784,0.25308058,-0.063737124,0.44883657
295171805,0.3140064,-0.101854436,0.42264643
295181816,0.27170974,-0.07376948,0.4515293
295191826,0.29697186,-0.09717435,0.43117183
295201784,0.26392272,-0.06935025,0.44642392
295211808,0.26308247,-0.07677943,0.4499003
295221820,0.2717806,-0.077348605,0.43827918
295231792,0.26031363,-0.062706344,0.4470875
295241826,0.29068348,-0.08621733,0.4422439
295251791,0.25781062,-0.073124446,0.44126922
295261805,0.27429113,-0.07431109,0.44613713
295271805,0.24841042,-0.062284656,0.44121423
295281802,0.28029075,-0.0777433,0.4432174
295291805,0.26011387,-0.06897902,0.43023065
295301784,0.24997835,-0.063488916,0.45093754
295311820,0.29808888,-0.09903743,0.42437872
295321784,0.24199705,-0.05870071,0.44681635
295331867,0.3060784,-0.10100523,0.4282674
295341784,0.24799511,-0.06296721,0.4326929
295351807,0.27811083,-0.07423081,0.44627506
295361785,0.2617242,-0.070126005,0.44550452
295371799,0.2632222,-0.06722275,0.4549537
295381784,0.275643,-0.08862828,0.44171283
295391817,0.26986948,-0.06671269,0.4494956
295401784,0.31065488,-0.10283322,0.42053744
295411794,0.24922866,-0.063153476,0.43835923
295421784,0.31210816,-0.110144205,0.4132492
295431828,0.24582304,-0.058390982,0.4400281
295441784,0.25749558,-0.06496966,0.45466244
