timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
662795269,22.4926,22.401728,0.0,0.081089936,0.0,25.085941,0.629253,1.0530177,0.0,6,0,0,0,0,0,1,1,0,0,0
663299264,22.3286,22.397312,0.1116,0.093107924,0.0,25.100046,0.6289926,1.053057,0.0,6,0,0,0,0,0,1,1,0,0,0
663792908,22.4598,22.378075,0.1736,0.07868574,0.0,25.108759,0.6230174,1.0539576,0.0,6,0,0,0,0,0,1,1,0,0,0
664298444,22.4106,22.386265,0.024799999,0.0629524,0.0,25.115494,0.62567,1.0535575,0.0,6,0,0,0,0,0,1,1,0,0,0
664804106,22.058,22.388712,0.0,0.079677545,0.0,25.127565,0.62652546,1.0534285,0.0,6,0,0,0,0,0,1,1,0,0,0
665297610,22.1892,22.386585,0.0,0.06628586,0.0,25.134892,0.62567717,1.0535564,0.0,6,0,0,0,0,0,1,1,0,0,0
665803217,22.509,22.383389,0.0,0.07366935,0.0,25.145773,0.6250182,1.0536559,0.0,6,0,0,0,0,0,1,1,0,0,0
666307997,21.9924,22.366585,0.0,0.061865166,0.0,25.153753,0.61981636,1.0544406,0.0,6,0,0,0,0,0,1,1,0,0,0
666801656,21.894001,22.343645,0.0,0.08379,0.0,25.16757,0.6131039,1.0554551,0.0,6,0,0,0,0,0,1,1,0,0,0
667307265,22.0498,22.342093,0.0,0.067255855,0.0,25.175306,0.6125427,1.0555401,0.0,6,0,0,0,0,0,1,1,0,0,0
667812203,22.345,22.343225,0.0,0.07156367,0.0,25.186163,0.6127463,1.0555092,0.0,6,0,0,0,0,0,1,1,0,0,0
668304044,22.2794,22.325129,0.0,0.058611102,0.0,25.19342,0.6074925,1.0563047,0.0,6,0,0,0,0,0,1,1,0,0,0
668809656,22.386,22.329454,0.0,0.07023916,0.0,25.20493,0.60821825,1.0561948,0.0,6,0,0,0,0,0,1,1,0,0,0
669314457,22.3778,22.335323,0.062,0.07389446,0.0,25.216452,0.6099587,1.0559312,0.0,6,0,0,0,0,0,1,1,0,0,0
669808115,22.345,22.329514,0.0,0.07900837,0.0,25.227621,0.60851675,1.0561496,0.0,6,0,0,0,0,0,1,1,0,0,0
670313672,22.3368,22.335562,0.0,0.07609717,0.0,25.238405,0.6108261,1.0557998,0.0,6,0,0,0,0,0,1,1,0,0,0
670819289,22.2302,22.326897,0.16119999,0.07083164,0.0,25.248663,0.60793835,1.0562371,0.0,6,0,0,0,0,0,1,1,0,0,0
671312901,22.3286,22.319887,0.0744,0.072086975,0.0,25.259315,0.60561043,1.0565901,0.0,6,0,0,0,0,0,1,1,0,0,0
671818407,22.4434,22.319921,0.0,0.07717962,0.0,25.271349,0.6051093,1.056666,0.0,6,0,0,0,0,0,1,1,0,0,0
672324069,21.9104,22.30943,0.0,0.07365944,0.0,25.282114,0.60252863,1.0570574,0.0,6,0,0,0,0,0,1,1,0,0,0
672817642,22.345,22.313354,0.124,0.098678276,0.0,25.296724,0.6034294,1.0569208,0.0,6,0,0,0,0,0,1,1,0,0,0
673323277,22.181,22.30981,0.124,0.08754994,0.0,25.307432,0.6022735,1.0570961,0.0,6,0,0,0,0,0,1,1,0,0,0
673827277,22.4434,22.305622,0.012399999,0.069907315,0.0,25.316238,0.60090977,1.0573031,0.0,6,0,0,0,0,0,1,1,0,0,0
674320091,22.4434,22.296919,0.0,0.07740518,0.0,25.327435,0.59844404,1.0576776,0.0,6,0,0,0,0,0,1,1,0,0,0
674825621,22.1154,22.3004,0.0,0.07387836,0.0,25.337473,0.59958273,1.0575047,0.0,6,0,0,0,0,0,1,1,0,0,0
675330420,22.3286,22.30169,0.248,0.085049435,0.0,25.350204,0.5994745,1.0575211,0.0,6,0,0,0,0,0,1,1,0,0,0
675824013,22.222,22.297491,0.0,0.07442106,0.0,25.3592,0.59802777,1.0577408,0.0,6,0,0,0,0,0,1,1,0,0,0
676329682,22.2958,22.296566,0.0,0.07187236,0.0,25.369413,0.59787136,1.0577646,0.0,6,0,0,0,0,0,1,1,0,0,0
676834461,22.3122,22.280628,0.024799999,0.06910023,0.0,25.378853,0.59352833,1.0584248,0.0,6,0,0,0,0,0,1,1,0,0,0
677326463,22.263,22.279715,0.0,0.062348697,0.0,25.387188,0.59365755,1.0584053,0.0,6,0,0,0,0,0,1,1,0,0,0
677832196,22.4598,22.287174,0.42159998,0.10200736,0.0,25.404766,0.5956622,1.0581003,0.0,6,0,0,0,0,0,1,1,0,0,0
678337638,22.3532,22.274675,0.16119999,0.093481936,0.0,25.415579,0.59216934,1.0586317,0.0,6,0,0,0,0,0,1,1,0,0,0
678831214,22.427,22.266743,0.0,0.08162885,0.0,25.42628,0.58981854,1.0589895,0.0,6,0,0,0,0,0,1,1,0,0,0
679336047,22.3122,22.27088,0.2976,0.09038688,0.0,25.438223,0.5904847,1.0588882,0.0,6,0,0,0,0,0,1,1,0,0,0
679841632,22.14,22.274218,0.0,0.08446743,0.0,25.449049,0.5921913,1.0586283,0.0,6,0,0,0,0,0,1,1,0,0,0
680334532,22.0908,22.24658,0.0,0.06786311,0.0,25.456108,0.58396107,1.0598824,0.0,6,0,0,0,0,0,1,1,0,0,0
680838477,22.3122,22.245663,0.0,0.07817639,0.0,25.467344,0.58389765,1.059892,0.0,6,0,0,0,0,0,1,1,0,0,0
681344052,22.304,22.238922,0.23560001,0.0830822,0.0,25.480064,0.5820089,1.0601803,0.0,6,0,0,0,0,0,1,1,0,0,0
681837625,22.2138,22.238491,0.1488,0.08793296,0.0,25.492828,0.58224255,1.0601447,0.0,6,0,0,0,0,0,1,1,0,0,0
682343251,22.3942,22.242281,0.2852,0.082668625,0.0,25.504023,0.5832868,1.0599853,0.0,6,0,0,0,0,0,1,1,0,0,0
682848045,22.2958,22.246513,0.1116,0.091546305,0.0,25.517132,0.58443934,1.0598096,0.0,6,0,0,0,0,0,1,1,0,0,0
683340850,22.1646,22.25928,0.0,0.10031005,0.0,25.53085,0.5885225,1.059187,0.0,6,0,0,0,0,0,1,1,0,0,0
683846461,22.2138,22.250849,0.0,0.08160174,0.0,25.540474,0.5859023,1.0595864,0.0,6,0,0,0,0,0,1,1,0,0,0
684351246,22.1318,22.24892,0.024799999,0.08872221,0.0,25.553967,0.58477455,1.0597583,0.0,6,0,0,0,0,0,1,1,0,0,0
684856887,22.2138,22.251398,0.0,0.08670941,0.0,25.56542,0.58526045,1.0596843,0.0,6,0,0,0,0,0,1,1,0,0,0
685350466,22.2712,22.246418,0.0,0.07713944,0.0,25.5755,0.5835324,1.0599478,0.0,6,0,0,0,0,0,1,1,0,0,0
685856019,22.4926,22.24179,0.124,0.0800369,0.0,25.587559,0.5823198,1.0601329,0.0,6,0,0,0,0,0,1,1,0,0,0
686361668,22.2138,22.243372,0.0,0.07680566,0.0,25.597174,0.5833574,1.0599746,0.0,6,0,0,0,0,0,1,1,0,0,0
686854456,22.3532,22.232826,0.0744,0.06815795,0.0,25.604872,0.58041483,1.0604237,0.0,6,0,0,0,0,0,1,1,0,0,0
687360098,22.2302,22.227314,0.024799999,0.065020576,0.0,25.61351,0.5790029,1.0606394,0.0,6,0,0,0,0,0,1,1,0,0,0
687865682,22.2712,22.229221,0.099199995,0.07588243,0.0,25.624693,0.5790134,1.0606377,0.0,6,0,0,0,0,0,1,1,0,0,0
688358475,22.1646,22.214268,0.0,0.08597905,0.0,25.636234,0.5747147,1.0612949,0.0,6,0,0,0,0,0,1,1,0,0,0
688862558,22.017,22.22017,0.0,0.0877522,0.0,25.648296,0.57588774,1.0611155,0.0,6,0,0,0,0,0,1,1,0,0,0
689368004,22.2466,22.20784,0.024799999,0.06546964,0.0,25.655123,0.57222277,1.0616763,0.0,6,0,0,0,0,0,1,1,0,0,0
689873663,22.3286,22.19582,0.1116,0.069360785,0.0,25.664652,0.5690389,1.0621637,0.0,6,0,0,0,0,0,1,1,0,0,0
690367301,22.2466,22.198812,0.0,0.065628186,0.0,25.672668,0.5702396,1.0619799,0.0,6,0,0,0,0,0,1,1,0,0,0
690872863,22.3942,22.201466,0.0,0.07888957,0.0,25.684288,0.57088333,1.0618813,0.0,6,0,0,0,0,0,1,1,0,0,0
691378477,21.9186,22.19122,0.0,0.08161374,0.0,25.696701,0.5679365,1.0623327,0.0,6,0,0,0,0,0,1,1,0,0,0
691872131,22.3122,22.171972,0.0372,0.06438765,0.0,25.703714,0.56234556,1.0631902,0.0,6,0,0,0,0,0,1,1,0,0,0
692377657,22.386,22.1782,0.0,0.07555565,0.0,25.7158,0.56407076,1.0629255,0.0,6,0,0,0,0,0,1,1,0,0,0
692882450,21.9678,22.18525,0.0,0.084038086,0.0,25.728035,0.56548744,1.0627081,0.0,6,0,0,0,0,0,1,1,0,0,0
693376055,21.7382,22.190065,0.0,0.06975115,0.0,25.73631,0.565826,1.0626563,0.0,6,0,0,0,0,0,1,1,0,0,0
693881702,21.9678,22.173222,0.0,0.061757028,0.0,25.744303,0.56126696,1.0633558,0.0,6,0,0,0,0,0,1,1,0,0,0
694387267,22.1072,22.17951,0.0,0.07692931,0.0,25.757042,0.5633269,1.0630397,0.0,6,0,0,0,0,0,1,1,0,0,0
694879279,22.263,22.176954,0.062,0.07139737,0.0,25.765848,0.5624195,1.0631789,0.0,6,0,0,0,0,0,1,1,0,0,0
695384118,22.3368,22.196726,0.0,0.08968201,0.0,25.780672,0.5680261,1.062319,0.0,6,0,0,0,0,0,1,1,0,0,0
695889612,21.9678,22.19302,0.0,0.070030324,0.0,25.788805,0.56717116,1.06245,0.0,6,0,0,0,0,0,1,1,0,0,0
696383249,22.1154,22.191372,0.124,0.075773604,0.0,25.800547,0.56704146,1.0624698,0.0,6,0,0,0,0,0,1,1,0,0,0
696888970,22.1154,22.175049,0.0,0.0720634,0.0,25.81079,0.5622378,1.0632068,0.0,6,0,0,0,0,0,1,1,0,0,0
697393714,22.181,22.177418,0.0,0.08160212,0.0,25.82348,0.56420285,1.0629053,0.0,6,0,0,0,0,0,1,1,0,0,0
697886503,22.0088,22.17928,0.049599998,0.07672439,0.0,25.834278,0.564879,1.0628015,0.0,6,0,0,0,0,0,1,1,0,0,0
698391293,22.2794,22.177841,0.0744,0.063442715,0.0,25.842112,0.56457144,1.0628487,0.0,6,0,0,0,0,0,1,1,0,0,0
698896807,22.2548,22.177687,0.0,0.078028634,0.0,25.85527,0.5641447,1.0629141,0.0,6,0,0,0,0,0,1,1,0,0,0
699390389,22.2302,22.17313,0.0,0.0791402,0.0,25.865612,0.5626703,1.0631404,0.0,6,0,0,0,0,0,1,1,0,0,0
699896120,21.6562,22.169928,0.0,0.06649261,0.0,25.873503,0.56216675,1.0632178,0.0,6,0,0,0,0,0,1,1,0,0,0
700401666,22.2794,22.141396,0.0,0.06189702,0.0,25.881693,0.5552159,1.0642859,0.0,6,0,0,0,0,0,1,1,0,0,0
700894474,22.1318,22.156607,0.19839999,0.07802939,0.0,25.89398,0.55930334,1.0636575,0.0,6,0,0,0,0,0,1,1,0,0,0
701400018,21.894001,22.160063,0.0,0.08450201,0.0,25.906767,0.56039435,1.0634898,0.0,6,0,0,0,0,0,1,1,0,0,0
701893623,22.0498,22.186188,0.0,0.08904397,0.0,25.91954,0.5652471,1.0627451,0.0,6,0,0,0,0,0,1,1,0,0,0
702399281,22.2712,22.167738,0.124,0.07732087,0.0,25.929586,0.561184,1.0633687,0.0,6,0,0,0,0,0,1,1,0,0,0
702904876,21.9924,22.167372,0.0,0.075907074,0.0,25.939672,0.56124216,1.0633596,0.0,6,0,0,0,0,0,1,1,0,0,0
703397694,22.0252,22.16166,0.0,0.074594684,0.0,25.949564,0.5592275,1.0636691,0.0,6,0,0,0,0,0,1,1,0,0,0
703901695,22.2466,22.159302,0.1736,0.07932682,0.0,25.960888,0.55861574,1.0637631,0.0,6,0,0,0,0,0,1,1,0,0,0
704407263,22.345,22.153719,0.5952,0.0928373,0.0,25.974138,0.5567513,1.0640497,0.0,6,0,0,0,0,0,1,1,0,0,0
704900074,21.9514,22.157665,0.0,0.095051736,0.0,25.98782,0.5576673,1.0639089,0.0,6,0,0,0,0,0,1,1,0,0,0
705405614,22.1154,22.140337,0.1488,0.091937914,0.0,25.99991,0.5543557,1.0644182,0.0,6,0,0,0,0,0,1,1,0,0,0
705910452,22.402401,22.137083,0.124,0.07978419,0.0,26.009182,0.55329806,1.0645809,0.0,6,0,0,0,0,0,1,1,0,0,0
706402449,22.509,22.149284,0.1488,0.06490406,0.0,26.01638,0.55627257,1.0641234,0.0,6,0,0,0,0,0,1,1,0,0,0
706908050,21.9268,22.153996,0.0,0.048689544,0.0,26.021883,0.55726725,1.0639704,0.0,6,0,0,0,0,0,1,1,0,0,0
707412950,21.6562,22.127586,0.0,0.050172042,0.0,26.028881,0.54730994,1.0655034,0.0,6,0,0,0,0,0,1,1,0,0,0
707905644,22.0662,22.149885,0.0,0.07328511,0.0,26.040747,0.5541926,1.0644432,0.0,6,0,0,0,0,0,1,1,0,0,0
708410481,22.099,22.133862,0.0,0.078765936,0.0,26.052351,0.55152375,1.0648541,0.0,6,0,0,0,0,0,1,1,0,0,0
708914500,21.9842,22.118952,0.012399999,0.064457886,0.0,26.059784,0.5466004,1.0656128,0.0,6,0,0,0,0,0,1,1,0,0,0
709420038,22.1072,22.124454,0.0,0.07395515,0.0,26.071453,0.5475908,1.0654601,0.0,6,0,0,0,0,0,1,1,0,0,0
709913644,22.1564,22.111094,0.0,0.07805466,0.0,26.083265,0.5447193,1.065903,0.0,6,0,0,0,0,0,1,1,0,0,0
710418396,22.1318,22.121918,0.0,0.08832296,0.0,26.09568,0.5490475,1.0652355,0.0,6,0,0,0,0,0,1,1,0,0,0
710924100,21.9268,22.120274,0.0,0.07531702,0.0,26.10479,0.54915816,1.0652186,0.0,6,0,0,0,0,0,1,1,0,0,0
711417696,22.1236,22.120522,0.0,0.06278343,0.0,26.112162,0.54892164,1.0652549,0.0,6,0,0,0,0,0,1,1,0,0,0
711922524,22.3532,22.127178,0.21079999,0.0780442,0.0,26.125399,0.55070597,1.06498,0.0,6,0,0,0,0,0,1,1,0,0,0
712427250,22.099,22.119999,0.1116,0.07550553,0.0,26.135815,0.54828507,1.065353,0.0,6,0,0,0,0,0,1,1,0,0,0
712920118,22.2302,22.11734,0.35959998,0.084252626,0.0,26.147799,0.5474277,1.0654852,0.0,6,0,0,0,0,0,1,1,0,0,0
713425624,22.2712,22.127476,0.372,0.080913216,0.0,26.157598,0.550181,1.0650609,0.0,6,0,0,0,0,0,1,1,0,0,0
713930454,22.148201,22.107756,0.099199995,0.087118015,0.0,26.169487,0.54375416,1.0660518,0.0,6,0,0,0,0,0,1,1,0,0,0
714424117,22.2138,22.08763,0.0,0.07920875,0.0,26.179535,0.5382586,1.0669006,0.0,6,0,0,0,0,0,1,1,0,0,0
714929677,22.148201,22.08374,0.0,0.06895568,0.0,26.18801,0.5369659,1.0671006,0.0,6,0,0,0,0,0,1,1,0,0,0
715435264,22.1728,22.07695,0.0,0.0654359,0.0,26.196733,0.53494984,1.0674124,0.0,6,0,0,0,0,0,1,1,0,0,0
715927304,22.017,22.074722,0.0,0.064727366,0.0,26.205662,0.535049,1.0673971,0.0,6,0,0,0,0,0,1,1,0,0,0
