timestamp,safety_switch_available,safety_off,override_available,override_enabled
677768548,1,1,0,0
677792909,1,1,0,0
677812589,1,1,0,0
677832596,1,1,0,0
677856579,1,1,0,0
677880549,1,1,0,0
677900806,1,1,0,0
677924567,1,1,0,0
677948548,1,1,0,0
677972873,1,1,0,0
677996609,1,1,0,0
678020548,1,1,0,0
678040549,1,1,0,0
678061400,1,1,0,0
678082551,1,1,0,0
678102224,1,1,0,0
678126192,1,1,0,0
678150170,1,1,0,0
678174176,1,1,0,0
678198173,1,1,0,0
678222197,1,1,0,0
678246170,1,1,0,0
678266169,1,1,0,0
678286170,1,1,0,0
678310200,1,1,0,0
678334358,1,1,0,0
678354172,1,1,0,0
678374188,1,1,0,0
678398204,1,1,0,0
678422175,1,1,0,0
678446122,1,1,0,0
678466154,1,1,0,0
678490151,1,1,0,0
678510152,1,1,0,0
678534147,1,1,0,0
678554150,1,1,0,0
678574193,1,1,0,0
678594956,1,1,0,0
678615770,1,1,0,0
678635773,1,1,0,0
678660016,1,1,0,0
678683794,1,1,0,0
678707780,1,1,0,0
678727834,1,1,0,0
678751708,1,1,0,0
678775771,1,1,0,0
678795770,1,1,0,0
678819773,1,1,0,0
678840126,1,1,0,0
678859770,1,1,0,0
678883784,1,1,0,0
678903780,1,1,0,0
678927766,1,1,0,0
678951749,1,1,0,0
678971749,1,1,0,0
678991745,1,1,0,0
679011748,1,1,0,0
679031773,1,1,0,0
679055965,1,1,0,0
679075735,1,1,0,0
679095741,1,1,0,0
679116613,1,1,0,0
679140554,1,1,0,0
679160553,1,1,0,0
679180548,1,1,0,0
679200898,1,1,0,0
679224571,1,1,0,0
679244571,1,1,0,0
679268592,1,1,0,0
679292624,1,1,0,0
679312666,1,1,0,0
679336570,1,1,0,0
679356571,1,1,0,0
679380897,1,1,0,0
679400602,1,1,0,0
679424570,1,1,0,0
679448576,1,1,0,0
679468584,1,1,0,0
679488923,1,1,0,0
679508592,1,1,0,0
679532570,1,1,0,0
679556574,1,1,0,0
679576571,1,1,0,0
679596799,1,1,0,0
679616585,1,1,0,0
679636554,1,1,0,0
679656564,1,1,0,0
679676629,1,1,0,0
679700549,1,1,0,0
679720548,1,1,0,0
679744548,1,1,0,0
679764565,1,1,0,0
679784548,1,1,0,0
679809363,1,1,0,0
679830170,1,1,0,0
679850467,1,1,0,0
679874163,1,1,0,0
679894173,1,1,0,0
679914169,1,1,0,0
679938169,1,1,0,0
679962193,1,1,0,0
679982197,1,1,0,0
680006211,1,1,0,0
680026196,1,1,0,0
680046197,1,1,0,0
680070170,1,1,0,0
680094213,1,1,0,0
680114180,1,1,0,0
680138367,1,1,0,0
680158151,1,1,0,0
680182211,1,1,0,0
680202245,1,1,0,0
680226154,1,1,0,0
680246400,1,1,0,0
680270151,1,1,0,0
680290193,1,1,0,0
680310174,1,1,0,0
680330174,1,1,0,0
680350970,1,1,0,0
680370973,1,1,0,0
680391188,1,1,0,0
680414970,1,1,0,0
680438970,1,1,0,0
680458970,1,1,0,0
680482994,1,1,0,0
680503002,1,1,0,0
680526957,1,1,0,0
680551000,1,1,0,0
680574968,1,1,0,0
680598907,1,1,0,0
680618975,1,1,0,0
680638983,1,1,0,0
680662990,1,1,0,0
680682972,1,1,0,0
680702970,1,1,0,0
680727018,1,1,0,0
680751206,1,1,0,0
680774970,1,1,0,0
680794970,1,1,0,0
680818970,1,1,0,0
680842970,1,1,0,0
680862949,1,1,0,0
680882975,1,1,0,0
680906957,1,1,0,0
680931142,1,1,0,0
680950949,1,1,0,0
680970951,1,1,0,0
680994948,1,1,0,0
681014949,1,1,0,0
681035815,1,1,0,0
681056584,1,1,0,0
681076900,1,1,0,0
681100570,1,1,0,0
681120574,1,1,0,0
681144581,1,1,0,0
681168571,1,1,0,0
681188626,1,1,0,0
681212570,1,1,0,0
681236570,1,1,0,0
681256799,1,1,0,0
681280481,1,1,0,0
681300570,1,1,0,0
681324570,1,1,0,0
681348612,1,1,0,0
681372585,1,1,0,0
681396548,1,1,0,0
681416549,1,1,0,0
681440592,1,1,0,0
681460566,1,1,0,0
681480571,1,1,0,0
681500635,1,1,0,0
681524564,1,1,0,0
681548548,1,1,0,0
681570188,1,1,0,0
681590161,1,1,0,0
681614388,1,1,0,0
681634236,1,1,0,0
681658169,1,1,0,0
681682237,1,1,0,0
681702235,1,1,0,0
681726170,1,1,0,0
681746169,1,1,0,0
681766173,1,1,0,0
681790213,1,1,0,0
681814175,1,1,0,0
681834156,1,1,0,0
681858169,1,1,0,0
681878174,1,1,0,0
681902507,1,1,0,0
681922194,1,1,0,0
681946132,1,1,0,0
681966146,1,1,0,0
681986147,1,1,0,0
682010407,1,1,0,0
682034147,1,1,0,0
682058147,1,1,0,0
682082549,1,1,0,0
682103766,1,1,0,0
682127687,1,1,0,0
682147691,1,1,0,0
682167711,1,1,0,0
682191787,1,1,0,0
682215768,1,1,0,0
682239783,1,1,0,0
682263771,1,1,0,0
682283770,1,1,0,0
682307829,1,1,0,0
682332033,1,1,0,0
682351752,1,1,0,0
682371770,1,1,0,0
682395790,1,1,0,0
682419698,1,1,0,0
682443789,1,1,0,0
682463762,1,1,0,0
682487740,1,1,0,0
682507781,1,1,0,0
682531781,1,1,0,0
682555755,1,1,0,0
682579732,1,1,0,0
682599802,1,1,0,0
682620785,1,1,0,0
682640570,1,1,0,0
682660482,1,1,0,0
682680574,1,1,0,0
682700610,1,1,0,0
682724632,1,1,0,0
682748570,1,1,0,0
682768570,1,1,0,0
682792615,1,1,0,0
682812605,1,1,0,0
682836760,1,1,0,0
682856574,1,1,0,0
682880610,1,1,0,0
682900585,1,1,0,0
682920522,1,1,0,0
682940609,1,1,0,0
682964583,1,1,0,0
682984587,1,1,0,0
683008571,1,1,0,0
683032570,1,1,0,0
683052807,1,1,0,0
683076570,1,1,0,0
683096570,1,1,0,0
683116570,1,1,0,0
683136571,1,1,0,0
683160785,1,1,0,0
683184547,1,1,0,0
683204583,1,1,0,0
683228548,1,1,0,0
683252601,1,1,0,0
683276575,1,1,0,0
683296549,1,1,0,0
683316634,1,1,0,0
683337425,1,1,0,0
683358184,1,1,0,0
683382201,1,1,0,0
683406170,1,1,0,0
683426171,1,1,0,0
683446198,1,1,0,0
683470173,1,1,0,0
683494176,1,1,0,0
683514165,1,1,0,0
683538173,1,1,0,0
683562193,1,1,0,0
683582196,1,1,0,0
683602194,1,1,0,0
683626198,1,1,0,0
683646170,1,1,0,0
683670189,1,1,0,0
683690089,1,1,0,0
683714186,1,1,0,0
683738383,1,1,0,0
683758148,1,1,0,0
683782225,1,1,0,0
683806148,1,1,0,0
683826175,1,1,0,0
683847163,1,1,0,0
683867770,1,1,0,0
683887770,1,1,0,0
683911771,1,1,0,0
683935850,1,1,0,0
683956117,1,1,0,0
683975787,1,1,0,0
683999771,1,1,0,0
684019808,1,1,0,0
684043830,1,1,0,0
684067770,1,1,0,0
684087771,1,1,0,0
684111821,1,1,0,0
684131843,1,1,0,0
684155803,1,1,0,0
684175760,1,1,0,0
684195748,1,1,0,0
684215749,1,1,0,0
684239764,1,1,0,0
684259773,1,1,0,0
684283748,1,1,0,0
684307761,1,1,0,0
684327762,1,1,0,0
684351998,1,1,0,0
684372615,1,1,0,0
684393397,1,1,0,0
684417326,1,1,0,0
684437370,1,1,0,0
684457723,1,1,0,0
684481406,1,1,0,0
684505360,1,1,0,0
684525373,1,1,0,0
684549374,1,1,0,0
684573354,1,1,0,0
684597301,1,1,0,0
684617366,1,1,0,0
684637578,1,1,0,0
684657384,1,1,0,0
684681292,1,1,0,0
684705359,1,1,0,0
684729358,1,1,0,0
684753366,1,1,0,0
684777388,1,1,0,0
684797387,1,1,0,0
684817699,1,1,0,0
684837418,1,1,0,0
684861348,1,1,0,0
684885322,1,1,0,0
684906177,1,1,0,0
684927013,1,1,0,0
684946986,1,1,0,0
684970956,1,1,0,0
684990957,1,1,0,0
685011007,1,1,0,0
685034960,1,1,0,0
685058970,1,1,0,0
685078974,1,1,0,0
685103295,1,1,0,0
685127013,1,1,0,0
685150971,1,1,0,0
685170973,1,1,0,0
685194979,1,1,0,0
685215000,1,1,0,0
685234998,1,1,0,0
685258930,1,1,0,0
685283206,1,1,0,0
685306881,1,1,0,0
685330948,1,1,0,0
685350949,1,1,0,0
685370988,1,1,0,0
685394964,1,1,0,0
685414949,1,1,0,0
685436600,1,1,0,0
685460570,1,1,0,0
685480571,1,1,0,0
685500903,1,1,0,0
685524581,1,1,0,0
685548592,1,1,0,0
685572894,1,1,0,0
685596570,1,1,0,0
685616574,1,1,0,0
685640574,1,1,0,0
685664571,1,1,0,0
685688548,1,1,0,0
685708570,1,1,0,0
685728553,1,1,0,0
685748567,1,1,0,0
685772548,1,1,0,0
685792558,1,1,0,0
685812558,1,1,0,0
685836548,1,1,0,0
685860787,1,1,0,0
685884587,1,1,0,0
685908574,1,1,0,0
685932875,1,1,0,0
