timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
634163738,0.6291182,0.08943324,-0.03411521,4017,0,-13.540094,-2.1229873,-8.802754,4017
634168521,0.5714819,0.11544666,0.086636774,4783,0,-1.0276185,-6.2650604,-12.54671,4783
634172578,0.089608654,0.15323392,0.23056039,4057,0,14.367676,-6.5872774,-14.450876,4057
634177336,-0.1613155,0.07440561,0.2384637,4758,0,24.929396,-4.4324903,-11.860839,4758
634181321,-0.25112692,-0.009763275,0.056422465,3985,0,20.697926,0.2454661,-8.554559,3985
634185321,-0.32268533,-0.15933898,-0.10359101,4000,0,8.091746,3.2289424,-7.1404114,4000
634189321,-0.385834,-0.28231895,-0.32163557,4000,0,-7.711714,4.8424897,-6.6144137,4000
634193350,-0.21324743,-0.21846302,-0.2950676,4029,0,-20.161013,5.799678,-6.2339163,4029
634197338,0.04427541,0.0015018714,-0.025336945,3988,0,-19.079088,5.1247497,-10.515627,3988
634201321,0.042522848,0.16276704,0.036776483,3983,0,-6.769341,4.5317597,-15.021086,3983
634205321,0.0148859015,0.18817717,-0.012030813,4000,0,6.329607,4.4848804,-15.209935,4000
634209321,0.23468313,0.065225914,0.058972992,4000,0,13.801266,2.4903522,-10.959745,4000
634213321,0.44971398,-0.12634946,0.07450414,4000,0,8.861185,-0.9881288,-6.7155538,4000
634217321,0.36732244,-0.10789019,0.06852739,4000,0,-0.52605295,-4.0254836,-3.573591,4000
634221324,0.12274668,-0.07404842,0.0007057224,4003,0,-7.0538073,-6.432137,-5.2122407,4003
634225321,-0.090984516,0.009900745,-0.11495659,3997,0,-7.3337665,-5.6892576,-11.718288,3997
634229321,-0.22139423,0.17244858,0.022846028,4000,0,-1.235504,-2.6556146,-15.88495,4000
634233352,-0.3908894,0.078752,0.16261284,4031,0,5.7717447,0.33413208,-15.018303,4031
634237321,-0.5889354,0.016078508,0.030334951,3969,0,7.7969913,5.104218,-11.015069,3969
634241321,-0.3534189,-0.0030386741,0.08414327,4000,0,6.3385706,9.050511,-5.8797426,4000
634245321,0.13936262,-0.04171637,0.09163641,4000,0,2.7670846,7.620437,-5.6349916,4000
634249324,0.25825152,-0.044209413,-0.16717611,4003,0,-1.474001,4.504003,-7.856785,4003
634253321,0.23938967,-0.032450944,-0.22206557,3997,0,-3.6217942,1.3327085,-9.852124,3997
634257321,0.27852282,0.009808705,-0.13015164,4000,0,-2.74491,-2.0625,-10.484547,4000
634261325,0.12329471,0.044997297,-0.08936458,4004,0,-0.34185594,-3.1500983,-11.487346,4004
634265321,-0.09661273,0.010684655,-0.05490809,3996,0,1.9027959,-2.4649372,-12.2692,3996
634269321,-0.1627483,0.008194037,-0.057039157,4000,0,1.5851461,-0.33653688,-11.412338,4000
634273329,-0.08614845,-0.005960568,-0.008447496,4008,0,0.6520775,1.9178303,-9.202853,4008
634277321,-0.013971849,-0.027629048,0.07020163,3992,0,0.63227123,2.431345,-7.371562,3992
634281350,-0.04138167,0.017764274,0.001438833,4029,0,1.3388286,2.2998228,-6.5765047,4029
634285321,0.03380308,-0.008756927,0.02821655,3971,0,1.306484,2.292123,-8.450294,3971
634289321,0.1248214,0.004998654,0.10473503,4000,0,0.895742,0.93518895,-11.873154,4000
634293321,-0.0020823881,-0.019892873,0.08132489,4000,0,0.7683323,0.4112622,-12.660429,4000
634297321,-0.1327623,-0.06854581,0.103186764,4000,0,0.4509247,0.86042684,-10.842207,4000
634301321,-0.110347085,-0.041178875,0.097205885,4000,0,0.043330576,1.0036025,-8.513233,4000
634305321,-0.040254716,-0.0067656054,-0.009603172,4000,0,0.6994981,1.3825445,-8.083183,4000
634309321,0.008996554,-0.004796072,-0.010158258,4000,0,1.7998004,1.6834852,-9.301642,4000
634313321,0.02937702,-0.022407942,0.00052252895,4000,0,1.651731,1.5969458,-10.088253,4000
634317321,0.050983686,-0.034431998,0.023988813,4000,0,0.48191744,1.9168249,-10.136622,4000
634321321,0.05640881,-0.02746448,-0.022078102,4000,0,0.6344183,1.3114889,-10.182724,4000
634325321,0.036774497,-0.020419262,-0.111315235,4000,0,0.30702674,1.2037066,-9.91649,4000
