timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
690654033,-0.016958239,0.04480054,1.3477497,0.0,0.7810669,-0.020600433,0.012211956,0.623988,0.3754114,1.0,1,0,0,0,0,0,0
690758012,-0.015548665,0.037665527,1.3483204,0.0,0.7809779,-0.017827556,0.009859281,0.6242263,0.37802303,1.0,1,0,0,0,0,0,0
690857699,-0.01657983,0.03674547,1.348869,0.0,0.7808065,-0.017945673,0.0091731595,0.6244478,0.37856457,1.0,1,0,0,0,0,0,0
690957899,-0.014132903,0.037898816,1.3494011,0.0,0.78065073,-0.017353114,0.0103829,0.62464035,0.37872928,1.0,1,0,0,0,0,0,0
691059497,-0.018608805,0.034895156,1.349909,0.0,0.78048134,-0.018164366,0.007807664,0.62486637,0.37881106,1.0,1,0,0,0,0,0,0
691163654,-0.01826245,0.03927561,1.3504092,0.0,0.780284,-0.019399615,0.00962088,0.6250504,0.37846515,1.0,1,0,0,0,0,0,0
691263274,-0.015613942,0.0317449,1.3508793,0.0,0.78023255,-0.016015362,0.007505903,0.6252394,0.3835697,1.0,1,0,0,0,0,0,0
691363580,-0.016403724,0.042062532,1.3513352,0.0,0.7799829,-0.019550268,0.011280314,0.62539375,0.37952864,1.0,1,0,0,0,0,0,0
691467788,-0.015263854,0.033970546,1.3518014,0.0,0.7799275,-0.016578251,0.008476131,0.6255929,0.38227266,1.0,1,0,0,0,0,0,0
691567257,-0.017374907,0.041575048,1.3522807,0.0,0.7796829,-0.01978175,0.0107771065,0.62576926,0.3817884,1.0,1,0,0,0,0,0,0
691668887,-0.0161473,0.037394267,1.35272,0.0,0.77960014,-0.017997686,0.009526922,0.62594646,0.37854022,1.0,1,0,0,0,0,0,0
691773048,-0.01669648,0.030298049,1.3531545,0.0,0.77952456,-0.015993003,0.006584733,0.62613285,0.3816017,1.0,1,0,0,0,0,0,0
691873463,-0.014740043,0.040131595,1.3536041,0.0,0.77930886,-0.018310398,0.011026516,0.6262754,0.3785365,1.0,1,0,0,0,0,0,0
