timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
649601703,-0.0650773,0.011032486,-0.032796927,-0.92233086,0.06115447,-0.015979124,-0.3811964,0.10171716,0.05032503,0.056192018,-0.9919493,1
649634589,-0.13167946,-0.020458225,-0.0691581,-0.9223388,0.061261207,-0.015900832,-0.38116312,0.10171716,0.05032503,0.056192018,-0.9919493,1
649666470,0.013661044,-0.02504499,-0.10226021,-0.92236996,0.061213776,-0.01584836,-0.38109767,0.10171716,0.05032503,0.056192018,-0.9919493,1
649698525,0.045988314,0.00762247,-0.09354629,-0.9223369,0.061281107,-0.015921028,-0.38116372,0.10171716,0.05032503,0.056192018,-0.9919493,1
649726460,0.019804189,-0.019621272,0.03790328,-0.92226344,0.06119134,-0.015933825,-0.38135532,0.10171716,0.05032503,0.056192018,-0.9919493,1
649758531,0.026082028,-0.0160677,0.07694826,-0.92225444,0.06108245,-0.01595192,-0.3813941,0.10171716,0.05032503,0.056192018,-0.9919493,1
649790494,0.025151609,0.010799674,0.085112914,-0.92222786,0.061104894,-0.015989935,-0.38145286,0.10171716,0.05032503,0.056192018,-0.9919493,1
649822546,0.10167975,-0.002889635,0.07470154,-0.92223305,0.060934275,-0.01610948,-0.3814625,0.10171716,0.05032503,0.056192018,-0.9919493,1
649854476,0.05480284,0.00051894225,0.073785275,-0.9222451,0.061050735,-0.016040096,-0.38141787,0.10171716,0.05032503,0.056192018,-0.9919493,1
649886508,-0.07427701,0.008675205,0.057071187,-0.92220694,0.06129805,-0.015961736,-0.3814738,0.10171716,0.05032503,0.056192018,-0.9919493,1
649918490,-0.054382242,-0.013616214,0.0045676003,-0.92224044,0.06126659,-0.015908312,-0.3814,0.10171716,0.05032503,0.056192018,-0.9919493,1
649950521,0.064301535,-0.0013255496,0.033373676,-0.92224956,0.061075322,-0.016018057,-0.38140404,0.10171716,0.05032503,0.056192018,-0.9919493,1
649978487,-0.02622335,-0.007046053,0.08272091,-0.92221516,0.06119479,-0.015962122,-0.38147026,0.10171716,0.05032503,0.056192018,-0.9919493,1
650010542,0.15369627,0.0004160609,0.058538422,-0.92233914,0.061038315,-0.016074589,-0.38119093,0.10171716,0.05032503,0.056192018,-0.9919493,1
650042473,0.24491225,-0.12339554,-0.082935914,-0.92268527,0.059154905,-0.015362098,-0.38067925,0.10171716,0.05032503,0.056192018,-0.9919493,1
650074505,0.51022625,-0.31176022,-0.16357204,-0.9231476,0.053814013,-0.012730752,-0.38044795,0.10171716,0.05032503,0.056192018,-0.9919493,1
650106497,0.5481594,-0.3984414,0.15599063,-0.9234686,0.045574054,-0.007898572,-0.38087597,0.10171716,0.05032503,0.056192018,-0.9919493,1
650138552,0.22838768,-0.6943791,0.22371335,-0.9242026,0.032453567,-0.002842985,-0.38051078,0.10171716,0.05032503,0.056192018,-0.9919493,1
650170477,0.2634533,-0.79380107,0.1364875,-0.9241624,0.01563325,0.0017192145,-0.38167605,0.10171716,0.05032503,0.056192018,-0.9919493,1
650202592,0.84086406,-0.9014851,0.30876768,-0.92392135,-0.0023875886,0.007453793,-0.3825023,0.10171716,0.05032503,0.056192018,-0.9919493,1
650234520,1.5951734,-1.0830586,0.1462276,-0.92314047,-0.024574181,0.0151349045,-0.3833782,0.10171716,0.05032503,0.056192018,-0.9919493,1
650266532,2.0488892,-1.3432778,-0.004849567,-0.92143464,-0.051198713,0.024683978,-0.38435382,0.10171716,0.05032503,0.056192018,-0.9919493,1
650298483,1.7727767,-1.4339774,-0.16438311,-0.91884035,-0.08172818,0.036405638,-0.38435337,0.10171716,0.05032503,0.056192018,-0.9919493,1
650332274,1.4848831,-1.5753212,-0.013590874,-0.9147892,-0.11754288,0.050891,-0.3830855,0.10171716,0.05032503,0.056192018,-0.9919493,1
650364171,1.7734804,-1.714302,0.34680244,-0.90903234,-0.15409502,0.06619295,-0.38148844,0.10171716,0.05032503,0.056192018,-0.9919493,1
650396122,1.7055562,-1.8314617,0.029408824,-0.90169346,-0.19012944,0.08213104,-0.37954462,0.10171716,0.05032503,0.056192018,-0.9919493,1
650428103,1.3069029,-1.4906193,0.23499356,-0.8937739,-0.21992303,0.09736669,-0.37857866,0.10171716,0.05032503,0.056192018,-0.9919493,1
650460064,0.24629807,-0.8073421,0.0854744,-0.88752645,-0.23829311,0.10890061,-0.37901697,0.10171716,0.05032503,0.056192018,-0.9919493,1
650492294,-0.16488849,0.042288,0.24040677,-0.8844259,-0.24166897,0.113879256,-0.38264704,0.10171716,0.05032503,0.056192018,-0.9919493,1
650524090,-1.1355433,1.1172413,0.3087632,-0.88652515,-0.22539282,0.11163412,-0.3883416,0.10171716,0.05032503,0.056192018,-0.9919493,1
650556133,-1.9078944,1.6883702,0.8080028,-0.89216834,-0.19326778,0.10197184,-0.39532906,0.10171716,0.05032503,0.056192018,-0.9919493,1
650584139,-1.508915,1.7769158,0.46425498,-0.8973044,-0.15965118,0.089136146,-0.4017598,0.10171716,0.05032503,0.056192018,-0.9919493,1
650616202,-1.8587868,2.112793,0.5186932,-0.9015216,-0.117868215,0.073564544,-0.4098222,0.10171716,0.05032503,0.056192018,-0.9919493,1
650648079,-1.8342671,1.7474142,0.59792215,-0.90314645,-0.081714705,0.058138456,-0.41745555,0.10171716,0.05032503,0.056192018,-0.9919493,1
650680093,-1.0170116,1.5122232,0.4235895,-0.9031201,-0.051627107,0.04469864,-0.42392328,0.10171716,0.05032503,0.056192018,-0.9919493,1
650712308,-0.7461474,1.1544418,0.49613297,-0.9018388,-0.026319588,0.034649033,-0.42987648,0.10171716,0.05032503,0.056192018,-0.9919493,1
650744234,-0.96582395,0.8457223,0.6366717,-0.89988893,-0.0057691615,0.027149642,-0.43523505,0.10171716,0.05032503,0.056192018,-0.9919493,1
650776051,-0.607592,0.74979,0.5259879,-0.8974185,0.01040908,0.021376587,-0.44053942,0.10171716,0.05032503,0.056192018,-0.9919493,1
650808058,-0.78490925,0.5236353,0.4662157,-0.8941725,0.024033334,0.016806588,-0.446761,0.10171716,0.05032503,0.056192018,-0.9919493,1
650836086,-0.3608186,0.59788895,0.2854839,-0.89125377,0.03278815,0.0124576,-0.45214644,0.10171716,0.05032503,0.056192018,-0.9919493,1
650869678,-0.67849296,0.37745336,0.32771215,-0.8875787,0.04142927,0.008168149,-0.45871666,0.10171716,0.05032503,0.056192018,-0.9919493,1
650901741,-0.19036664,0.39514902,0.32082465,-0.88456774,0.046855744,0.0038599283,-0.46403617,0.10171716,0.05032503,0.056192018,-0.9919493,1
