timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
780162921,32767,32767,32767,32767,-71,32767,32767,32767
780166935,32767,32767,32767,32767,32767,-52,32767,32767
780170921,32767,32767,32767,32767,-45,32767,32767,32767
780174921,32767,32767,32767,32767,32767,32767,32767,32767
780178921,32767,32767,32767,32767,32767,-71,32767,32767
780182921,32767,32767,32767,32767,32767,32767,32767,32767
780186921,32767,32767,32767,32767,32767,-52,32767,32767
780190921,32767,32767,32767,32767,32767,32767,32767,32767
780194921,32767,32767,32767,32767,-65,32767,32767,32767
780198921,32767,32767,32767,32767,32767,-71,32767,32767
780202937,32767,32767,32767,32767,-45,32767,32767,32767
780206921,32767,32767,32767,32767,32767,-52,32767,32767
780210921,32767,32767,32767,32767,32767,32767,32767,32767
780214921,32767,32767,32767,32767,-55,32767,32767,32767
780218921,32767,32767,32767,32767,32767,-71,32767,32767
780222926,32767,32767,32767,32767,32767,32767,32767,32767
780226921,32767,32767,32767,32767,32767,-51,32767,32767
780230921,32767,32767,32767,32767,32767,32767,32767,32767
780234921,32767,32767,32767,32767,-45,32767,32767,32767
780238921,32767,32767,32767,32767,32767,-71,32767,32767
780242921,32767,32767,32767,32767,32767,32767,32767,32767
780246921,32767,32767,32767,32767,-55,-51,32767,32767
780250921,32767,32767,32767,32767,32767,32767,32767,32767
780254931,32767,32767,32767,32767,32767,32767,32767,32767
780258921,32767,32767,32767,32767,-70,-71,32767,32767
780262921,32767,32767,32767,32767,32767,32767,32767,32767
780266921,32767,32767,32767,32767,32767,-52,32767,32767
780270921,32767,32767,32767,32767,32767,32767,32767,32767
780274967,32767,32767,32767,32767,32767,32767,32767,32767
780278921,32767,32767,32767,32767,-52,-71,32767,32767
780282921,32767,32767,32767,32767,32767,32767,32767,32767
780286937,32767,32767,32767,32767,32767,-52,32767,32767
780290921,32767,32767,32767,32767,-65,32767,32767,32767
780294920,32767,32767,32767,32767,32767,32767,32767,32767
780298921,32767,32767,32767,32767,32767,-71,32767,32767
780302921,32767,32767,32767,32767,-56,32767,32767,32767
780306938,32767,32767,32767,32767,32767,-52,32767,32767
780310921,32767,32767,32767,32767,32767,32767,32767,32767
780314939,32767,32767,32767,32767,32767,32767,32767,32767
780318921,32767,32767,32767,32767,32767,-71,32767,32767
780322921,32767,32767,32767,32767,32767,32767,32767,32767
780326921,32767,32767,32767,32767,-57,-52,32767,32767
780330921,32767,32767,32767,32767,32767,32767,32767,32767
780334921,32767,32767,-64,32767,32767,32767,32767,32767
780338921,32767,32767,32767,32767,-70,-71,32767,32767
780342921,32767,32767,32767,32767,32767,32767,32767,32767
780346921,32767,32767,32767,32767,-45,-52,32767,32767
780350921,32767,32767,32767,32767,32767,32767,32767,32767
780354921,32767,32767,32767,32767,32767,32767,32767,32767
780358921,32767,32767,32767,32767,32767,-71,32767,32767
780362921,32767,32767,32767,32767,32767,32767,32767,32767
780366921,32767,32767,32767,32767,32767,-52,32767,32767
780370937,32767,32767,32767,32767,-65,32767,32767,32767
780374920,32767,32767,32767,32767,32767,32767,32767,32767
780378921,32767,32767,32767,32767,-45,-71,32767,32767
780382921,32767,32767,32767,32767,32767,32767,32767,32767
780386921,32767,32767,32767,32767,32767,-52,32767,32767
780390938,32767,32767,32767,32767,-61,32767,32767,32767
780394921,32767,32767,32767,32767,32767,32767,32767,32767
780398921,32767,32767,32767,32767,32767,-72,32767,32767
780402948,32767,32767,32767,32767,32767,32767,32767,32767
780406921,32767,32767,32767,32767,32767,-52,32767,32767
780410921,32767,32767,32767,32767,-45,32767,32767,32767
780414921,32767,32767,32767,32767,32767,32767,32767,32767
780418921,32767,32767,32767,32767,32767,-71,32767,32767
780422968,32767,32767,32767,32767,-57,32767,32767,32767
780426921,32767,32767,32767,32767,32767,-51,32767,32767
780430921,32767,32767,32767,32767,32767,32767,32767,32767
780434921,32767,32767,32767,32767,-71,32767,32767,32767
780438921,32767,32767,32767,32767,32767,-71,32767,32767
780442924,32767,32767,32767,32767,32767,32767,32767,32767
780446921,32767,32767,32767,32767,32767,-52,32767,32767
780450921,32767,32767,32767,32767,32767,32767,32767,32767
780454937,32767,32767,32767,32767,-57,32767,32767,32767
780458921,32767,32767,32767,32767,32767,-71,32767,32767
780462944,32767,32767,32767,32767,32767,32767,32767,32767
780466921,32767,32767,32767,32767,-70,-52,32767,32767
780470921,32767,32767,32767,32767,32767,32767,32767,32767
780474938,32767,32767,32767,32767,-45,32767,32767,32767
780478921,32767,32767,32767,32767,32767,-71,32767,32767
780482921,32767,32767,32767,32767,32767,32767,32767,32767
780486921,32767,32767,32767,32767,32767,-52,32767,32767
780490921,32767,32767,32767,32767,32767,32767,32767,32767
780494921,32767,32767,32767,32767,32767,32767,32767,32767
780498921,32767,32767,32767,32767,-65,-71,32767,32767
780502921,32767,32767,32767,32767,32767,32767,32767,32767
780506921,32767,32767,32767,32767,32767,-52,32767,32767
780510921,32767,32767,32767,32767,-68,32767,32767,32767
780514932,32767,32767,32767,32767,32767,32767,32767,32767
780518921,32767,32767,32767,32767,-45,-72,32767,32767
780522921,32767,32767,32767,32767,32767,32767,32767,32767
